day,high c,low c,precipitation,snow cm,snow depth cm
1 may 2017,18.90,7.20,0.00,0.00,0.00
2 may 2017,19.40,7.80,0.00,0.00,0.00
3 may 2017,21.70,4.40,0.00,0.00,0.00
4 may 2017,26.70,6.70,0.00,0.00,0.00
5 may 2017,31.70,8.90,0.00,0.00,0.00
6 may 2017,30.60,15.00,1.80,0.00,0.00
7 may 2017,27.20,18.90,0.00,0.00,0.00
8 may 2017,25.60,12.20,T,0.00,0.00
9 may 2017,25.60,9.40,T,0.00,0.00
10 may 2017,25.00,10.60,0.00,0.00,0.00
11 may 2017,27.80,10.00,0.00,0.00,0.00
12 may 2017,30.60,11.70,0.00,0.00,0.00
13 may 2017,29.40,8.30,0.00,0.00,0.00
14 may 2017,23.30,5.00,0.00,0.00,0.00
15 may 2017,22.20,10.00,0.00,0.00,0.00
16 may 2017,20.00,9.40,0.80,0.00,0.00
17 may 2017,18.90,2.20,7.40,T,0.00
18 may 2017,11.70,2.20,T,T,0.00
19 may 2017,16.10,5.00,0.00,0.00,0.00
20 may 2017,21.70,3.90,0.00,0.00,0.00
21 may 2017,21.10,10.00,3.30,0.00,0.00
22 may 2017,23.90,7.20,0.00,0.00,0.00
23 may 2017,28.30,10.00,0.00,0.00,0.00
24 may 2017,31.10,10.00,0.00,0.00,0.00
25 may 2017,27.20,13.90,0.00,0.00,0.00
26 may 2017,21.70,12.80,0.00,0.00,0.00
27 may 2017,22.80,8.30,0.00,0.00,0.00
28 may 2017,26.70,7.80,0.00,0.00,0.00
29 may 2017,28.90,10.00,0.00,0.00,0.00
30 may 2017,31.10,11.10,0.00,0.00,0.00
31 may 2017,31.70,12.80,0.00,0.00,0.00
1 June 2017,30.60,15.60,T,0.00,0.00
2 June 2017,28.30,12.80,0.00,0.00,0.00
3 June 2017,32.80,11.10,0.00,0.00,0.00
4 June 2017,35.60,15.60,0.00,0.00,0.00
5 June 2017,34.40,17.80,0.00,0.00,0.00
6 June 2017,34.40,14.40,0.00,0.00,0.00
7 June 2017,35.60,16.70,0.00,0.00,0.00
8 June 2017,35.60,13.30,0.00,0.00,0.00
9 June 2017,33.90,17.20,0.00,0.00,0.00
10 June 2017,31.70,13.30,0.00,0.00,0.00
11 June 2017,31.10,13.90,0.00,0.00,0.00
12 June 2017,31.10,13.30,0.00,0.00,0.00
13 June 2017,22.20,8.90,2.00,0.00,0.00
14 June 2017,27.80,9.40,0.00,0.00,0.00
15 June 2017,32.80,11.70,0.00,0.00,0.00
16 June 2017,33.30,13.90,0.00,0.00,0.00
17 June 2017,33.30,14.40,0.00,0.00,0.00
18 June 2017,30.60,18.30,0.00,0.00,0.00
19 June 2017,35.00,16.70,0.00,0.00,0.00
20 June 2017,37.80,18.30,0.00,0.00,0.00
21 June 2017,38.30,16.70,0.00,0.00,0.00
22 June 2017,37.20,18.90,0.00,0.00,0.00
23 June 2017,31.70,12.80,0.00,0.00,0.00
24 June 2017,32.80,12.20,0.00,0.00,0.00
25 June 2017,35.00,13.30,0.00,0.00,0.00
26 June 2017,36.70,15.60,0.00,0.00,0.00
27 June 2017,36.10,16.70,0.00,0.00,0.00
28 June 2017,33.90,14.40,0.00,0.00,0.00
29 June 2017,31.70,14.40,0.00,0.00,0.00
30 June 2017,30.60,12.80,0.00,0.00,0.00
1 July 2017,35.00,13.30,0.00,0.00,0.00
2 July 2017,36.10,17.20,0.00,0.00,0.00
3 July 2017,36.70,17.80,0.00,0.00,0.00
4 July 2017,38.30,17.20,0.00,0.00,0.00
5 July 2017,37.80,18.30,0.00,0.00,0.00
6 July 2017,40.00,18.30,0.00,0.00,0.00
7 July 2017,38.90,21.10,0.00,0.00,0.00
8 July 2017,38.90,18.90,0.00,0.00,0.00
9 July 2017,38.30,20.00,0.00,0.00,0.00
10 July 2017,33.90,21.70,0.00,0.00,0.00
11 July 2017,33.90,21.10,0.00,0.00,0.00
12 July 2017,35.00,18.30,0.00,0.00,0.00
13 July 2017,36.10,17.20,0.00,0.00,0.00
14 July 2017,35.60,17.80,0.00,0.00,0.00
15 July 2017,37.80,18.30,0.00,0.00,0.00
16 July 2017,37.80,20.00,0.00,0.00,0.00
17 July 2017,37.80,18.90,0.00,0.00,0.00
18 July 2017,38.30,18.90,T,0.00,0.00
19 July 2017,36.70,22.20,0.30,0.00,0.00
20 July 2017,34.40,18.30,0.80,0.00,0.00
21 July 2017,35.60,20.00,0.00,0.00,0.00
22 July 2017,35.60,18.90,0.00,0.00,0.00
23 July 2017,35.60,18.30,T,0.00,0.00
24 July 2017,36.70,19.40,0.00,0.00,0.00
25 July 2017,35.60,18.90,4.10,0.00,0.00
26 July 2017,32.20,17.80,1.80,0.00,0.00
27 July 2017,33.90,17.20,0.30,0.00,0.00
28 July 2017,33.30,18.90,1.30,0.00,0.00
29 July 2017,35.60,16.70,0.00,0.00,0.00
30 July 2017,35.60,16.10,0.00,0.00,0.00
31 July 2017,36.70,17.80,0.00,0.00,0.00
1 August 2017,37.80,17.80,0.00,0.00,0.00
2 August 2017,37.20,18.30,0.00,0.00,0.00
3 August 2017,37.20,20.60,0.00,0.00,0.00
4 August 2017,35.00,18.90,0.00,0.00,0.00
5 August 2017,33.90,19.40,0.00,0.00,0.00
6 August 2017,33.90,17.80,0.00,0.00,0.00
7 August 2017,29.40,16.70,T,0.00,0.00
8 August 2017,30.60,18.30,0.00,0.00,0.00
9 August 2017,32.20,17.20,0.00,0.00,0.00
10 August 2017,32.20,17.20,2.00,0.00,0.00
11 August 2017,34.40,17.20,0.00,0.00,0.00
12 August 2017,34.40,17.80,0.00,0.00,0.00
13 August 2017,34.40,18.90,2.30,0.00,0.00
14 August 2017,33.30,19.40,0.00,0.00,0.00
15 August 2017,28.30,16.70,0.00,0.00,0.00
16 August 2017,31.70,12.80,0.00,0.00,0.00
17 August 2017,33.30,13.90,0.00,0.00,0.00
18 August 2017,35.00,15.00,0.00,0.00,0.00
19 August 2017,34.40,15.00,0.00,0.00,0.00
20 August 2017,35.60,17.80,0.00,0.00,0.00
21 August 2017,35.00,16.70,0.00,0.00,0.00
22 August 2017,33.30,17.20,T,0.00,0.00
23 August 2017,32.20,16.10,0.50,0.00,0.00
24 August 2017,33.30,16.70,0.00,0.00,0.00
25 August 2017,36.10,15.00,0.00,0.00,0.00
26 August 2017,36.10,17.80,0.00,0.00,0.00
27 August 2017,36.70,16.10,0.00,0.00,0.00
28 August 2017,36.70,15.60,0.00,0.00,0.00
29 August 2017,36.70,16.10,0.00,0.00,0.00
30 August 2017,35.60,19.40,0.00,0.00,0.00
31 August 2017,30.60,17.80,5.10,0.00,0.00
1 September 2017,32.20,13.90,0.00,0.00,0.00
2 September 2017,35.00,15.00,0.00,0.00,0.00
3 September 2017,36.70,16.10,0.00,0.00,0.00
4 September 2017,35.60,15.60,0.00,0.00,0.00
5 September 2017,36.10,16.10,0.00,0.00,0.00
6 September 2017,35.60,15.60,0.00,0.00,0.00
7 September 2017,33.30,15.60,0.00,0.00,0.00
8 September 2017,32.20,16.10,1.00,0.00,0.00
9 September 2017,28.30,14.40,0.00,0.00,0.00
10 September 2017,30.60,13.30,0.00,0.00,0.00
11 September 2017,33.30,15.00,0.00,0.00,0.00
12 September 2017,32.80,15.60,0.00,0.00,0.00
13 September 2017,31.70,15.60,0.00,0.00,0.00
14 September 2017,29.40,17.20,0.30,0.00,0.00
15 September 2017,18.90,11.10,20.30,0.00,0.00
16 September 2017,20.00,6.70,0.00,0.00,0.00
17 September 2017,26.10,8.30,0.00,0.00,0.00
18 September 2017,28.30,10.60,0.00,0.00,0.00
19 September 2017,26.70,10.00,1.50,0.00,0.00
20 September 2017,26.10,6.10,0.00,0.00,0.00
21 September 2017,24.40,11.70,0.00,0.00,0.00
22 September 2017,13.90,5.00,7.90,0.00,0.00
23 September 2017,11.10,3.90,1.30,0.00,0.00
24 September 2017,8.30,3.30,23.40,0.00,0.00
25 September 2017,17.20,3.30,0.30,0.00,0.00
26 September 2017,19.40,3.30,0.00,0.00,0.00
27 September 2017,22.80,5.00,0.00,0.00,0.00
28 September 2017,20.00,10.00,0.00,0.00,0.00
29 September 2017,23.30,8.30,0.00,0.00,0.00
30 September 2017,21.70,10.00,0.00,0.00,0.00
1 October 2017,19.40,8.90,2.80,0.00,0.00
2 October 2017,12.20,3.30,T,0.00,0.00
3 October 2017,18.90,1.10,0.00,0.00,0.00
4 October 2017,21.10,8.90,0.00,0.00,0.00
5 October 2017,19.40,2.80,0.00,0.00,0.00
6 October 2017,17.20,3.90,0.00,0.00,0.00
7 October 2017,23.90,3.30,0.00,0.00,0.00
8 October 2017,22.20,6.70,0.00,0.00,0.00
9 October 2017,13.90,1.70,0.00,0.00,0.00
10 October 2017,18.30,1.10,0.00,0.00,0.00
11 October 2017,23.90,5.60,0.00,0.00,0.00
12 October 2017,20.60,7.20,0.00,0.00,0.00
13 October 2017,20.00,0.60,0.00,0.00,0.00
14 October 2017,17.20,3.30,0.00,0.00,0.00
15 October 2017,15.60,-1.10,0.00,0.00,0.00
16 October 2017,20.60,0.00,0.00,0.00,0.00
17 October 2017,25.00,1.10,0.00,0.00,0.00
18 October 2017,23.90,3.30,0.00,0.00,0.00
19 October 2017,25.00,5.60,0.00,0.00,0.00
20 October 2017,22.20,8.90,0.00,0.00,0.00
21 October 2017,12.80,0.00,0.00,0.00,0.00
22 October 2017,20.00,3.30,0.00,0.00,0.00
23 October 2017,18.90,5.60,0.00,0.00,0.00
24 October 2017,17.80,2.80,0.00,0.00,0.00
25 October 2017,22.20,1.70,0.00,0.00,0.00
26 October 2017,18.90,3.30,0.00,0.00,0.00
27 October 2017,16.70,2.80,0.00,0.00,0.00
28 October 2017,17.20,2.20,0.00,0.00,0.00
29 October 2017,21.10,2.80,0.00,0.00,0.00
30 October 2017,17.80,3.90,0.00,0.00,0.00
31 October 2017,15.00,2.20,0.00,0.00,0.00
