STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,EVAP,MDPR,MNPN,MXPN,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT11
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/1/2017,,,,,,0,0,0,,18.9,7.2,13.3,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/2/2017,,,,,,0,0,0,,19.4,7.8,17.8,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/3/2017,,,,,,0,0,0,,21.7,4.4,21.1,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/4/2017,,,,,,0,0,0,,26.7,6.7,26.7,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/5/2017,,,,,,0,0,0,,31.7,8.9,30.6,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/6/2017,,,,,,1.8,0,0,,30.6,15,21.1,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/7/2017,,,,,,0,0,0,,27.2,18.9,25,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/8/2017,,,,,,0,0,0,,25.6,12.2,22.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/9/2017,,,,,,0,0,0,,25.6,9.4,23.9,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/10/2017,,,,,,0,0,0,,25,10.6,23.9,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/11/2017,,,,,,0,0,0,,27.8,10,27.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/12/2017,,,,,,0,0,0,,30.6,11.7,29.4,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/13/2017,,,,,,0,0,0,,29.4,8.3,16.1,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/14/2017,,6.9,,9.4,26.1,0,0,0,,23.3,5,21.1,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/15/2017,,3.8,,12.2,25,0,0,0,,22.2,10,20,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/16/2017,,5.1,,11.7,25,0.8,0,0,,20,9.4,18.3,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/17/2017,,4.1,,9.4,24.4,7.4,0,0,,18.9,2.2,7.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/18/2017,,2.8,,6.1,16.1,0,0,0,,11.7,2.2,9.4,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/19/2017,,2.5,,7.8,19.4,0,0,0,,16.1,5,13.9,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/20/2017,,4.6,,7.8,27.2,0,0,0,,21.7,3.9,21.1,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/21/2017,,0,,12.8,27.2,3.3,0,0,,21.1,10,18.3,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/22/2017,,5.3,,11.7,28.9,0,0,0,,23.9,7.2,23.3,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/23/2017,,6.1,,13.3,30.6,0,0,0,,28.3,10,27.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/24/2017,,6.9,,14.4,30.6,0,0,0,,31.1,10,27.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/25/2017,,7.4,,15.6,28.9,0,0,0,,27.2,13.9,20.6,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/26/2017,,5.6,,14.4,27.8,0,0,0,,21.7,12.8,18.9,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/27/2017,,6.1,,11.1,28.9,0,0,0,,22.8,8.3,21.7,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/28/2017,,6.6,,12.8,30.6,0,0,0,,26.7,7.8,25.6,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/29/2017,,6.9,,13.9,31.7,0,0,0,,28.9,10,27.8,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/30/2017,,7.4,,14.4,31.7,0,0,0,,31.1,11.1,29.4,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,5/31/2017,,7.1,,15.6,30.6,0,0,0,,31.7,12.8,28.9,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/1/2017,,5.6,,16.1,29.4,0,0,0,,30.6,15.6,21.1,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/2/2017,,6.9,,15,32.8,0,0,0,,28.3,12.8,27.2,,,,,,,
