date (mm.dd.yyyy),Depth [m],T [deg C],DO [%],SPC [micro S/cm],NH4 [mg/l],NO3 [mg/l],PO4 [mg/l],Chl tot [micro g/l],Chl cyano [micro g/l],Chl green Al. [micro g/l],turb [FTU],Secci Depth [m],pH
6/1/2016,0,20.8,127.3,748,0.877326755,0.162558848,0.012251796,39.8,3.2,36.6,5.1,0.8,8.63
6/1/2016,0.5,20.8,127,748,-,-,-,55.4,3.7,51.7,4.8,-,8.65
6/1/2016,1,20.4,131.4,756,-,-,-,45.6,3,42.6,4.9,-,8.66
6/1/2016,2,18,85.4,775,-,-,-,41,3.9,37.1,5,-,8.25
6/1/2016,3,15.8,4,786,1.050011213,0.270562171,0.031263202,54.6,5.8,48.8,5.8,-,7.89
6/8/2016,0,22.5,76.6,762,0.821821036,0.127942398,0,5.3,0.9,4.4,5.3,2,8.17
6/8/2016,0.5,22.5,77,763,-,-,-,6.9,0.9,6,4.3,-,8.18
6/8/2016,1,22.5,73.2,762,-,-,-,8.5,0.9,7.6,4.1,-,8.06
6/8/2016,2,21,33.1,776,-,-,-,19.6,2.4,17.2,4.7,-,7.9
6/8/2016,3,17.2,2.4,738,0.481498094,0.41595126,0,78.3,12.5,65.8,16.5,-,7.51
6/15/2016,0,22.3,109.2,758,0.034649024,0,0,28.8,6.1,22.7,5.2,1,8.34
6/15/2016,0.5,21.7,109.5,758,-,-,-,30,4.6,25.4,5.4,-,8.43
6/15/2016,1,21.2,112.2,754,-,-,-,41.5,5.6,35.9,5.5,-,8.47
6/15/2016,2,20.3,93.9,751,-,-,-,37.2,6.8,30.4,5.4,-,8.37
6/15/2016,3,19.4,63.2,740,0.1249159,0.763500415,0,30.6,6.3,24.3,12.6,-,7.96
6/22/2016,0,23.7,134.6,749,0.145099798,0,0,21,2.4,18.6,4.8,0.9,8.63
6/22/2016,0.5,22.9,134.7,748,-,-,-,20.1,2.5,17.6,5.1,-,8.71
6/22/2016,1,22.4,133.5,748,-,-,-,35.4,3.9,31.5,5.5,-,8.7
6/22/2016,2,20.6,88.3,754,-,-,-,68.6,15,53.6,7.4,-,8.53
6/22/2016,3,19.5,9.3,765,0,0,0,82.5,19.1,63.4,21.6,-,7.98
6/29/2016,0,22.6,87.6,741,0,0,0.066117448,28.1,5.2,22.9,6,0.7,8.2
