Date (mm.dd.yyyy),Time 24hr,Temp C,Sp Cond (uS/cm),pH (mV),pH,Turbidity (NTU),Chlorophyll (ug/L),Chlorophyll RFU,ODOSat%,ODO (mg/L),BGA-Phycocyanin RFU
5/5/2017,0:00,15.02,1848,-100.1,8.36,16.84,4.4,1.3,90.2,9.04,0.4
5/5/2017,0:15,14.99,1847,-100.1,8.36,16.76,4.2,1.2,90.2,9.04,0.4
5/5/2017,0:30,14.96,1847,-100.1,8.36,16.82,4.3,1.3,90.1,9.04,0.4
5/5/2017,0:45,14.95,1848,-100.1,8.36,17.19,4.5,1.3,90,9.03,0.4
5/5/2017,1:00,14.92,1848,-100,8.36,16.85,4.5,1.3,89.8,9.02,0.4
5/5/2017,1:15,14.92,1850,-100.1,8.36,16.43,4.9,1.4,89.8,9.02,0.4
5/5/2017,1:30,14.9,1851,-100.1,8.36,16.35,4.5,1.3,89.7,9.01,0.4
5/5/2017,1:45,14.88,1852,-100,8.36,16.4,4.2,1.2,89.6,9,0.4
5/5/2017,2:00,14.84,1850,-99.9,8.36,16.82,4.6,1.3,89.4,8.99,0.4
5/5/2017,2:15,14.83,1851,-100,8.36,16.5,4.4,1.3,89.4,8.99,0.4
5/5/2017,2:30,14.79,1850,-99.9,8.36,16.44,4.5,1.3,89.3,8.99,0.4
5/5/2017,2:45,14.79,1852,-99.9,8.36,16.74,4.6,1.3,89.2,8.98,0.4
5/5/2017,3:00,14.76,1853,-99.9,8.36,16.12,4.3,1.3,89.1,8.98,0.4
5/5/2017,3:15,14.74,1854,-99.9,8.36,16.46,4.3,1.2,89,8.98,0.4
5/5/2017,3:30,14.71,1854,-99.9,8.36,16.12,4.3,1.2,88.9,8.97,0.4
5/5/2017,3:45,14.7,1854,-99.9,8.36,16.25,4.3,1.3,88.8,8.96,0.4
5/5/2017,4:00,14.69,1855,-99.9,8.36,16.2,4.3,1.3,88.7,8.96,0.4
5/5/2017,4:15,14.66,1856,-99.7,8.35,16.13,4.1,1.2,88.6,8.95,0.4
5/5/2017,4:30,14.63,1857,-99.6,8.35,16.26,4,1.2,88.4,8.94,0.4
5/5/2017,4:45,14.62,1857,-99.7,8.35,16.15,4.1,1.2,88.3,8.93,0.4
5/5/2017,5:00,14.59,1857,-99.8,8.35,15.85,4.2,1.2,88.2,8.92,0.4
5/5/2017,5:15,14.55,1857,-99.7,8.35,15.8,4.2,1.2,88.1,8.92,0.4
5/5/2017,5:30,14.57,1858,-99.7,8.35,16.09,4.2,1.2,88,8.91,0.4
5/5/2017,5:45,14.54,1857,-99.7,8.35,16.02,4.1,1.2,87.9,8.9,0.4
5/5/2017,6:00,14.5,1858,-99.7,8.35,16.12,4.1,1.2,87.7,8.89,0.4
5/5/2017,6:15,14.46,1859,-99.7,8.35,15.79,3.9,1.1,87.6,8.89,0.4
5/5/2017,6:30,14.45,1863,-99.7,8.35,15.55,3.8,1.1,87.6,8.88,0.3
5/5/2017,6:45,14.44,1864,-99.7,8.35,15.77,3.7,1.1,87.5,8.88,0.4
5/5/2017,7:00,14.42,1862,-99.5,8.35,15.9,3.5,1,87.4,8.88,0.4
5/5/2017,7:15,14.38,1862,-99.6,8.35,15.7,3.6,1.1,87.5,8.89,0.4
5/5/2017,7:30,14.37,1862,-99.7,8.35,15.62,3.5,1,87.6,8.9,0.4
5/5/2017,7:45,14.36,1863,-99.8,8.36,15.64,3.6,1.1,87.7,8.91,0.4
5/5/2017,8:00,14.35,1863,-99.8,8.36,15.69,3.6,1.1,87.7,8.92,0.4
5/5/2017,8:15,14.37,1863,-99.9,8.36,15.46,3.6,1.1,87.9,8.93,0.4
5/5/2017,8:30,14.38,1863,-100,8.36,15.57,3.8,1.1,88,8.94,0.4
5/5/2017,8:45,14.42,1863,-100,8.36,15.38,3.6,1.1,88.1,8.95,0.4
5/5/2017,9:00,14.43,1864,-100,8.36,15.43,3.6,1.1,88.2,8.95,0.4
5/5/2017,9:15,14.44,1864,-100.1,8.36,15.5,3.8,1.1,88.3,8.96,0.4
5/5/2017,9:30,14.48,1862,-100.2,8.36,15.27,3.6,1.1,88.6,8.98,0.4
5/5/2017,9:45,14.53,1860,-100.2,8.36,15.35,3.4,1,88.8,8.99,0.4
5/5/2017,10:00,14.53,1862,-100.2,8.36,15.3,3.5,1.1,88.8,9,0.4
5/5/2017,10:15,14.61,1862,-100.2,8.36,15.18,3.5,1.1,89.2,9.02,0.4
5/5/2017,10:30,14.66,1864,-100.4,8.37,15.15,3.4,1,89.5,9.04,0.4
5/5/2017,10:45,14.73,1866,-100.5,8.37,14.64,3.3,1,89.9,9.06,0.4
5/5/2017,11:00,14.8,1867,-100.6,8.37,14.88,3.2,1,90.1,9.08,0.3
5/5/2017,11:15,14.83,1868,-100.8,8.37,14.61,3.2,1,90.3,9.09,0.4
5/5/2017,11:30,14.93,1867,-100.9,8.37,14.7,3.1,0.9,90.6,9.1,0.3
5/5/2017,11:45,14.95,1868,-101,8.37,14.44,3.1,0.9,90.6,9.09,0.3
5/5/2017,12:00,15.05,1865,-101,8.37,14.8,2.8,0.9,91.1,9.13,0.3
5/5/2017,12:15,15.11,1865,-101.1,8.38,14.26,2.8,0.9,91.4,9.15,0.3
5/5/2017,12:30,15.07,1863,-101.1,8.38,14.53,2.8,0.8,91.7,9.18,0.3
5/5/2017,12:45,15.03,1864,-101.3,8.38,14.52,2.8,0.9,91.7,9.19,0.3
5/5/2017,13:00,15.21,1864,-101.3,8.38,14.46,3,0.9,92.1,9.19,0.3
5/5/2017,13:15,15.35,1860,-101.1,8.37,14.39,2.8,0.9,91.9,9.15,0.3
5/5/2017,13:30,15.07,1858,-101.4,8.38,14.5,2.9,0.9,92.4,9.25,0.3
5/5/2017,13:45,15.32,1858,-101.4,8.38,14.67,2.9,0.9,92.9,9.25,0.3
5/5/2017,14:00,15.17,1857,-101.5,8.38,14.45,3,0.9,92.9,9.28,0.3
5/5/2017,14:15,15.3,1857,-101.6,8.38,14.16,2.7,0.8,93.3,9.3,0.3
5/5/2017,14:30,15.39,1858,-101.8,8.39,14.44,2.8,0.9,93.3,9.27,0.3
5/5/2017,14:45,15.42,1859,-101.7,8.39,13.97,2.7,0.8,93.6,9.3,0.3
5/5/2017,15:00,15.36,1858,-101.8,8.39,14.46,2.9,0.9,94,9.35,0.3
