Date (mm.dd.yyyy),Time 24hr,Temp C,Sp Cond (uS/cm),pH (mV),pH,Trubidity (NTU),Chlorophyll (ug/L),Chlorophyll RFU,ODOSat%,ODO (mg/L),BGA-Phycocyanin RFU
5/5/2017,0:00,15.37,2184,-100,8.41,10.7,2.7,0.7,92.2,9.16,0.1
5/5/2017,0:15,15.45,2139,-101,8.43,9.92,2.7,0.7,93.3,9.25,0.1
5/5/2017,0:30,15.49,2057,-102.3,8.45,8.9,2.8,0.7,94.8,9.4,0.2
5/5/2017,0:45,15.67,1978,-102.6,8.45,8.62,2.7,0.7,96,9.49,0.2
5/5/2017,1:00,15.34,2136,-100.2,8.41,9.88,2.6,0.7,92.7,9.22,0.1
5/5/2017,1:15,15.41,2067,-101,8.43,9.17,2.6,0.7,93.8,9.32,0.1
5/5/2017,1:30,15.28,2031,-101,8.43,9.33,2.7,0.7,93.5,9.32,0.2
5/5/2017,1:45,15.21,2030,-101.3,8.43,9.51,2.7,0.7,93.9,9.37,0.2
5/5/2017,2:00,15.21,1969,-101.6,8.44,8.88,2.6,0.7,94.1,9.39,0.1
5/5/2017,2:15,15.33,1863,-102.3,8.45,8.06,2.7,0.7,95.8,9.54,0.2
5/5/2017,2:30,15.32,1841,-102.8,8.46,8.09,2.5,0.7,96.5,9.61,0.2
5/5/2017,2:45,15.14,1839,-102.8,8.46,8.02,2.6,0.7,96.5,9.65,0.1
5/5/2017,3:00,14.15,2038,-100.9,8.43,9.41,2.7,0.7,91.3,9.33,0.2
5/5/2017,3:15,14.57,1964,-101.3,8.43,8.69,2.6,0.7,92.7,9.38,0.2
5/5/2017,3:30,14.64,2047,-101.7,8.44,9.37,2.6,0.7,92.5,9.34,0.2
5/5/2017,3:45,14.82,1959,-101.7,8.44,8.41,2.5,0.6,93.6,9.42,0.2
5/5/2017,4:00,13.73,2230,-99.5,8.41,11.59,2.7,0.7,88.4,9.1,0.2
5/5/2017,4:15,14.97,2004,-102.3,8.45,8.38,2.6,0.7,93.8,9.41,0.2
5/5/2017,4:30,15.25,2003,-102.8,8.46,7.7,2.2,0.6,94.1,9.38,0.1
5/5/2017,4:45,15.21,2020,-102.6,8.45,7.67,2.4,0.6,93.6,9.33,0.2
5/5/2017,5:00,15.13,2039,-102.2,8.45,7.67,2.4,0.6,93,9.29,0.1
5/5/2017,5:15,15.05,2051,-101.8,8.44,8,2.4,0.6,92.7,9.28,0.2
5/5/2017,5:30,15,2070,-101.6,8.44,7.83,2.6,0.7,92.1,9.22,0.2
5/5/2017,5:45,14.93,2084,-101.3,8.43,8.13,2.5,0.7,91.7,9.2,0.1
5/5/2017,6:00,14.87,2100,-101.1,8.43,8.04,2.3,0.6,91.2,9.16,0.2
5/5/2017,6:15,14.85,2099,-101,8.43,8.03,2.4,0.6,91.1,9.16,0.1
5/5/2017,6:30,14.72,2103,-100.5,8.42,8.49,2.3,0.6,91,9.17,0.1
5/5/2017,6:45,14.72,2111,-100.3,8.42,8.13,2.1,0.6,90.7,9.14,0.1
5/5/2017,7:00,14.66,2116,-100.1,8.41,8.15,2.1,0.5,90.5,9.13,0.1
5/5/2017,7:15,14.62,2120,-99.8,8.41,8.25,2,0.5,90.3,9.12,0.1
5/5/2017,7:30,14.6,2120,-99.4,8.4,7.97,2.1,0.6,90.3,9.12,0.1
5/5/2017,7:45,14.57,2122,-99.3,8.4,8.03,2,0.5,90.2,9.12,0.1
5/5/2017,8:00,14.52,2125,-99,8.4,7.91,2,0.5,90.2,9.13,0.1
5/5/2017,8:15,14.5,2124,-99.3,8.4,8.07,2.1,0.5,90.3,9.14,0.1
5/5/2017,8:30,14.49,2125,-99.1,8.4,7.89,2.1,0.5,90.3,9.14,0.1
5/5/2017,8:45,14.52,2111,-99,8.4,7.83,1.9,0.5,90.3,9.14,0.1
5/5/2017,9:00,14.52,2101,-98,8.38,7.67,2,0.5,90.4,9.15,0.1
5/5/2017,9:15,14.57,2050,-98.1,8.38,7.46,1.7,0.4,91,9.2,0.1
5/5/2017,9:30,14.59,2032,-98.2,8.38,7.44,1.6,0.4,91.2,9.22,0.1
5/5/2017,9:45,14.62,2036,-98.3,8.38,7.42,1.7,0.4,91.3,9.23,0.1
5/5/2017,10:00,14.66,2031,-98.3,8.38,7.38,1.7,0.4,91.5,9.23,0.1
5/5/2017,10:15,14.63,2030,-98.4,8.38,7.35,1.7,0.4,91.5,9.25,0.1
5/5/2017,10:30,14.7,2024,-98.6,8.39,7.26,1.6,0.4,91.7,9.25,0.1
5/5/2017,10:45,14.69,2030,-98.7,8.39,7.41,1.5,0.4,91.8,9.26,0.1
5/5/2017,11:00,14.65,2040,-99.1,8.4,7.63,1.7,0.4,91.7,9.26,0.1
5/5/2017,11:15,14.8,2045,-99.3,8.4,7.49,1.6,0.4,91.9,9.25,0.1
5/5/2017,11:30,15.11,2078,-99.5,8.4,7.47,1.5,0.4,92.1,9.2,0.1
5/5/2017,11:45,15.37,2131,-99.1,8.39,8.05,1.6,0.4,91.7,9.11,0.1
5/5/2017,12:00,15.46,2160,-99.1,8.39,8.14,1.7,0.4,91.6,9.08,0.1
5/5/2017,12:15,15.49,2194,-98.8,8.39,8.5,1.5,0.4,91.6,9.08,0.1
5/5/2017,12:30,15.46,2200,-98.8,8.39,8.74,1.6,0.4,91.2,9.04,0.1
5/5/2017,12:45,14.25,2230,-98.3,8.38,10.19,2.1,0.5,91.5,9.31,0.2
5/5/2017,13:00,14.77,2189,-98.6,8.39,9.68,1.8,0.5,91.5,9.21,0.1
5/5/2017,13:15,15.46,2244,-98.5,8.38,9.29,1.8,0.5,90.9,9.01,0.1
5/5/2017,13:30,15.37,2229,-98.6,8.38,9.32,1.8,0.5,90.9,9.03,0.1
5/5/2017,13:45,16.06,2299,-98.4,8.38,9.4,1.7,0.4,91.4,8.94,0.1
5/5/2017,14:00,16.01,2318,-98.1,8.37,9.77,1.7,0.4,91.3,8.94,0.1
5/5/2017,14:15,15.94,2319,-98.2,8.38,9.9,1.7,0.4,91.2,8.95,0.1
5/5/2017,14:30,15.85,2320,-97.7,8.37,9.62,1.7,0.4,91.3,8.97,0.1
5/5/2017,14:45,15.92,2331,-97.8,8.37,9.69,1.6,0.4,91.5,8.98,0.1
5/5/2017,15:00,16.05,2324,-97.6,8.36,9.82,1.7,0.4,91.5,8.96,0.1
5/5/2017,15:15,16.67,2357,-97.4,8.36,10.23,1.7,0.4,92,8.89,0.2
5/5/2017,15:30,16.45,2362,-97.7,8.36,10.13,1.7,0.4,92.5,8.97,0.1
5/5/2017,15:45,16.31,2349,-98,8.37,10.09,1.7,0.4,91.6,8.92,0.1
5/5/2017,16:00,16.26,2361,-97.9,8.37,10.04,1.7,0.4,91.5,8.92,0.1
5/5/2017,16:15,15.97,2353,-98,8.37,10.06,1.7,0.4,91.8,9,0.1
5/5/2017,16:30,16.55,2357,-98.1,8.37,9.99,1.8,0.5,92.1,8.92,0.1
5/5/2017,16:45,16.71,2378,-98.1,8.37,9.81,1.8,0.5,92.7,8.95,0.1
5/5/2017,17:00,16.31,2348,-98.4,8.38,9.83,1.9,0.5,92,8.95,0.1
5/5/2017,17:15,15.7,2353,-98,8.37,9.78,2,0.5,91.8,9.06,0.1
5/5/2017,17:30,16.83,2363,-98.4,8.37,9.73,2,0.5,92.7,8.92,0.1
5/5/2017,17:45,16.65,2353,-98.7,8.38,9.59,2.1,0.5,93.3,9.02,0.1
5/5/2017,18:00,15.98,2348,-98.8,8.38,9.71,2.1,0.5,93,9.12,0.1
5/5/2017,18:15,15.92,2339,-99,8.39,9.35,2.1,0.5,93,9.13,0.1
5/5/2017,18:30,15.86,2334,-99.3,8.39,9.5,2,0.5,93.5,9.19,0.1
5/5/2017,18:45,15.73,2330,-99.4,8.4,9.14,2.2,0.6,94,9.26,0.2
5/5/2017,19:00,15.57,2339,-99.6,8.4,9.42,2.2,0.6,93.9,9.29,0.1
5/5/2017,19:15,15.56,2347,-99.9,8.4,9.57,2.2,0.6,93.9,9.28,0.1
5/5/2017,19:30,15.45,2342,-100,8.41,9.29,2.2,0.6,93.7,9.29,0.1
5/5/2017,19:45,15.71,2337,-100,8.41,9.48,2.2,0.6,94.2,9.29,0.1
5/5/2017,20:00,15.35,2344,-100.3,8.41,9.46,2.4,0.6,93.5,9.29,0.1
5/5/2017,20:15,15.96,2295,-100.5,8.41,8.66,2.2,0.6,94.7,9.29,0.1
5/5/2017,20:30,15.32,2347,-100.4,8.42,9.33,2.5,0.7,94,9.35,0.1
5/5/2017,20:45,15.6,2329,-100.5,8.42,8.94,2.6,0.7,93.8,9.27,0.1
5/5/2017,21:00,15.38,2326,-100.3,8.41,8.97,2.5,0.6,93.8,9.32,0.2
