Date (mm.dd.yyy)	Time 24hr	Temp C	Sp Cond (uS/cm)	pH (mV)	pH	Trubidity (NTU)	Chlorophyll (ug/L)	Chlorophyll RFU	ODOSat%	ODO (mg/L)	BGA-Phycocyanin RFU	FDOM RFU
5/5/2017	0:00	15.75	1806	-104.7	8.33	6.41	3.2	1	90	8.88	0.2	3.1
5/5/2017	0:15	15.74	1808	-104.6	8.33	2.36	3.1	1	89.8	8.87	0.2	3.1
5/5/2017	0:30	15.69	1810	-104.5	8.33	7.16	3.5	1.1	89.6	8.85	0.2	3.1
5/5/2017	0:45	15.65	1814	-104.5	8.33	4.96	3.1	1	89.6	8.86	0.3	3.1
5/5/2017	1:00	15.63	1821	-104.5	8.33	6.72	3.1	1	89.5	8.86	0.3	3.1
5/5/2017	1:15	15.58	1828	-104.4	8.33	4.45	3.1	1	89.6	8.87	0.2	3
5/5/2017	1:30	15.57	1837	-104.5	8.33	7.84	3.2	1	89.8	8.89	0.3	3
5/5/2017	1:45	15.56	1841	-104.6	8.33	5.81	3.1	1	89.8	8.9	0.2	3
5/5/2017	2:00	15.54	1844	-104.5	8.33	5.16	3.1	1	89.7	8.89	0.3	3
5/5/2017	2:15	15.53	1844	-104.5	8.33	4.85	3.2	1	89.7	8.89	0.3	3
5/5/2017	2:30	15.53	1850	-104.6	8.33	2.78	2.9	1	89.8	8.9	0.2	3
5/5/2017	2:45	15.5	1853	-104.6	8.33	5.08	3.2	1	89.7	8.89	0.3	3
5/5/2017	3:00	15.5	1853	-104.5	8.33	5.63	3	1	89.6	8.89	0.3	3
5/5/2017	3:15	15.5	1856	-104.5	8.33	7.14	2.9	0.9	89.6	8.89	0.2	3
5/5/2017	3:30	15.51	1862	-104.5	8.33	4.08	2.9	0.9	89.6	8.89	0.3	3
5/5/2017	3:45	15.52	1866	-104.6	8.33	5.96	2.8	0.9	89.7	8.9	0.2	3
5/5/2017	4:00	15.51	1869	-104.6	8.33	2.75	2.9	0.9	89.7	8.9	0.2	3
5/5/2017	4:15	15.5	1870	-104.6	8.33	4.67	2.7	0.9	89.7	8.9	0.3	3
5/5/2017	4:30	15.48	1871	-104.5	8.33	7.89	2.7	0.9	89.7	8.9	0.2	3
5/5/2017	4:45	15.44	1871	-104.5	8.33	10.27	2.8	0.9	89.5	8.89	0.2	3
5/5/2017	5:00	15.5	1875	-104.6	8.33	5.09	2.7	0.9	89.4	8.87	0.2	3
5/5/2017	5:15	15.48	1879	-104.5	8.33	6.51	2.7	0.9	89.4	8.87	0.2	3
5/5/2017	5:30	15.47	1878	-104.4	8.33	6.54	2.7	0.9	89.3	8.87	0.2	3
5/5/2017	5:45	15.44	1881	-104.4	8.33	6.61	2.8	0.9	89.3	8.87	0.2	3
5/5/2017	6:00	15.42	1882	-104.5	8.33	6.01	2.6	0.9	89.3	8.87	0.2	3
5/5/2017	6:15	15.37	1882	-104.5	8.33	5.27	2.4	0.8	89.2	8.87	0.2	3
5/5/2017	6:30	15.35	1883	-104.5	8.33	3.01	2.6	0.9	89.1	8.87	0.2	3
5/5/2017	6:45	15.33	1882	-104.5	8.33	8.13	2.3	0.8	89	8.86	0.2	3
5/5/2017	7:00	15.31	1883	-104.5	8.33	5.51	2.3	0.8	89	8.87	0.2	3
5/5/2017	7:15	15.28	1883	-104.5	8.33	7.66	2.2	0.8	88.9	8.86	0.2	3
5/5/2017	7:30	15.27	1883	-104.5	8.33	5.11	2.4	0.8	88.9	8.87	0.3	3
5/5/2017	7:45	15.28	1885	-104.5	8.33	2.38	2.3	0.8	89	8.87	0.2	3
5/5/2017	8:00	15.29	1885	-104.6	8.33	6.22	2.4	0.8	89.1	8.87	0.3	3
5/5/2017	8:15	15.31	1888	-104.6	8.33	6.39	2.5	0.8	89.1	8.88	0.2	3
5/5/2017	8:30	15.33	1887	-104.6	8.33	10.71	2.3	0.8	89.2	8.88	0.2	2.9
5/5/2017	8:45	15.36	1887	-104.6	8.33	4.7	2.5	0.8	89.3	8.88	0.3	2.9
5/5/2017	9:00	15.4	1885	-104.7	8.33	3.95	2.3	0.8	89.4	8.89	0.2	2.9
5/5/2017	9:15	15.44	1884	-104.7	8.33	4.87	2.4	0.8	89.5	8.89	0.2	2.9
5/5/2017	9:30	15.49	1885	-104.8	8.33	14.87	2.3	0.8	89.5	8.88	0.2	2.9
5/5/2017	9:45	15.52	1885	-104.8	8.34	9.96	2.2	0.8	89.6	8.89	0.2	2.9
5/5/2017	10:00	15.6	1881	-104.8	8.33	56.76	2.2	0.8	89.8	8.89	0.2	2.9
5/5/2017	10:15	15.68	1882	-104.8	8.33	7.59	2.1	0.7	89.9	8.89	0.3	2.9
5/5/2017	10:30	15.83	1873	-104.6	8.33	66.33	2.1	0.7	90.1	8.88	0.2	2.9
5/5/2017	10:45	15.8	1875	-104.8	8.33	6.06	2	0.7	90.3	8.9	0.2	2.9
5/5/2017	11:00	15.78	1889	-104.8	8.33	103.96	2	0.7	90.5	8.93	0.2	2.9
5/5/2017	11:15	15.93	1862	-104.8	8.33	4.24	1.7	0.6	90.6	8.9	0.2	2.9
5/5/2017	11:30	16.06	1827	-104.8	8.33	89.89	1.5	0.6	90.6	8.88	0.2	2.9
5/5/2017	11:45	16.08	1794	-104.7	8.33	5.93	1.4	0.5	90.6	8.88	0.2	3
5/5/2017	12:00	16.35	1777	-104.5	8.33	57.21	1.5	0.6	90.9	8.86	0.2	3
5/5/2017	12:15	16.37	1776	-104.4	8.32	8.44	1.3	0.5	91.1	8.88	0.2	3
5/5/2017	12:30	16.52	1755	-104.4	8.32	63.64	1.3	0.5	91.5	8.88	0.2	2.9
5/5/2017	12:45	16.33	1719	-104.3	8.32	6.28	1.2	0.5	91.4	8.91	0.2	3
5/5/2017	13:00	16.29	1700	-104.2	8.32	50.82	1.2	0.5	91.5	8.93	0.1	3
5/5/2017	13:15	16.01	1709	-104	8.32	8.87	1	0.5	90.9	8.93	0.2	3.1
5/5/2017	13:30	16.2	1654	-104.3	8.32	10.73	1.2	0.5	91.9	8.99	0.2	3.1
5/5/2017	13:45	16.07	1664	-104.3	8.32	9.04	1	0.5	91.5	8.97	0.1	3.2
5/5/2017	14:00	16.84	1715	-104.4	8.32	8.27	1.4	0.5	92.6	8.94	0.2	3
5/5/2017	14:15	16.48	1659	-104.5	8.33	7.74	1.4	0.5	92.1	8.95	0.2	3.1
5/5/2017	14:30	16.61	1674	-104.5	8.32	20.32	1.2	0.5	92.7	8.98	0.2	3.1
5/5/2017	14:45	16.31	1636	-104.4	8.33	9.14	1.4	0.5	92.3	9.01	0.2	3.2
5/5/2017	15:00	16.5	1669	-104.5	8.32	10.89	1.3	0.5	92.5	8.99	0.2	3.1
5/5/2017	15:15	16.42	1667	-104.5	8.32	6.5	1.2	0.5	92.4	9	0.1	3.2
5/5/2017	15:30	17.04	1697	-104.6	8.33	8.85	1.2	0.5	93.2	8.96	0.1	3.1
5/5/2017	15:45	16.62	1663	-104.6	8.33	3.64	1.3	0.5	92.4	8.95	0.1	3.1
5/5/2017	16:00	16.81	1664	-104.6	8.33	10.31	1.3	0.5	93.2	9	0.1	3.1
5/5/2017	16:15	17.08	1681	-104.9	8.33	5.13	1.3	0.5	93.5	8.98	0.2	3.1
5/5/2017	16:30	17.05	1658	-105.5	8.34	6.44	1.4	0.5	94.8	9.1	0.1	3.1
5/5/2017	16:45	17.12	1680	-106.2	8.35	6.33	1.6	0.6	96.6	9.28	0.2	3.1
5/5/2017	17:00	16.82	1578	-106.6	8.36	13.41	1.5	0.6	96	9.27	0.1	3.2
5/5/2017	17:15	16.91	1584	-106.5	8.36	5.84	1.7	0.6	96	9.25	0.1	3.2
5/5/2017	17:30	16.55	1549	-107.3	8.37	45.67	1.7	0.6	96.2	9.35	0.2	3.3
5/5/2017	17:45	17.05	1592	-106.2	8.35	14.96	1.9	0.7	95.9	9.22	0.2	3.2
5/5/2017	18:00	16.25	1547	-106.1	8.36	24.58	1.7	0.6	94.3	9.21	0.2	3.5
5/5/2017	18:15	16.14	1510	-106.7	8.37	15.42	2	0.7	94.8	9.29	0.2	3.5
5/5/2017	18:30	16.2	1532	-106.9	8.37	24.09	1.9	0.7	95.6	9.36	0.2	3.4
5/5/2017	18:45	16.45	1533	-107.2	8.37	15.25	2	0.7	95.9	9.33	0.1	3.4
5/5/2017	19:00	16.58	1558	-106.9	8.37	64.77	1.8	0.6	96.3	9.35	0.1	3.3
5/5/2017	19:15	16.22	1553	-105.9	8.35	8.24	1.8	0.7	94.4	9.23	0.2	3.5
5/5/2017	19:30	16.33	1551	-106.5	8.36	53.27	1.7	0.6	94.6	9.23	0.2	3.3
5/5/2017	19:45	16.76	1550	-106.4	8.36	8.95	1.9	0.7	94.7	9.15	0.1	3.5
5/5/2017	20:00	16.07	1486	-106.9	8.37	82.08	1.8	0.7	94.9	9.31	0.2	3.5
5/5/2017	20:15	16.66	1555	-106.8	8.36	4.61	1.8	0.7	96.6	9.36	0.2	3.3
5/5/2017	20:30	16.19	1485	-106.7	8.36	55.75	2	0.7	95.1	9.31	0.1	3.5
5/5/2017	20:45	16.41	1493	-107.1	8.37	9.35	1.9	0.7	95.8	9.33	0.1	3.4
5/5/2017	21:00	16.51	1502	-107.1	8.37	65.62	2.2	0.8	96	9.33	0.2	3.3
5/5/2017	21:15	16.49	1485	-107	8.37	5.89	2.2	0.8	96	9.34	0.2	3.3
5/5/2017	21:30	17.74	1656	-105.8	8.34	59.09	1.9	0.7	96	9.09	0.1	3
5/5/2017	21:45	16.42	1647	-105	8.33	14.18	2.5	0.9	91.1	8.87	0.1	3.3
5/5/2017	22:00	16.27	1638	-104.6	8.33	97.79	2.7	0.9	89.9	8.78	0.2	3.3
5/5/2017	22:15	16.23	1639	-104.7	8.33	4.69	2.8	0.9	89.9	8.78	0.2	3.3
5/5/2017	22:30	16.15	1639	-104.7	8.33	104.42	2.7	0.9	89.9	8.8	0.2	3.3
5/5/2017	22:45	16.2	1637	-104.8	8.33	22.41	2.5	0.9	89.9	8.79	0.2	3.3
5/5/2017	23:00	16.17	1641	-104.6	8.33	56.37	2.7	0.9	89.6	8.76	0.2	3.3
5/5/2017	23:15	16.15	1661	-104.6	8.33	8.48	3.1	1	89.4	8.75	0.2	3.2
5/5/2017	23:30	16.21	1666	-104.6	8.33	18.51	3.1	1	89.6	8.76	0.2	3.2
5/5/2017	23:45	16.17	1660	-104.6	8.33	15.1	3	1	89.5	8.76	0.2	3.2
5/6/2017	0:00	16.12	1665	-104.3	8.32	40.87	3.4	1.1	89.2	8.73	0.2	3.2
5/6/2017	0:15	16.1	1659	-104.4	8.33	15.17	3.2	1	89.1	8.74	0.2	3.2
5/6/2017	0:30	16.07	1647	-104.7	8.33	38.65	3	1	89.5	8.77	0.2	3.2
5/6/2017	0:45	16.06	1647	-104.9	8.33	8.31	3.1	1	89.4	8.77	0.2	3.2
5/6/2017	1:00	16.06	1647	-104.8	8.33	28.85	3.1	1	89.3	8.76	0.2	3.2
5/6/2017	1:15	16.06	1643	-104.9	8.33	11.62	3	1	89.5	8.77	0.2	3.2
5/6/2017	1:30	16.05	1639	-105	8.34	66.35	2.9	1	89.4	8.77	0.2	3.3
5/6/2017	1:45	16.05	1635	-105.2	8.34	10.2	2.8	0.9	89.6	8.79	0.2	3.3
5/6/2017	2:00	16.06	1639	-105.4	8.34	27.98	2.9	1	89.9	8.82	0.2	3.3
5/6/2017	2:15	16.05	1638	-105.2	8.34	13.6	2.9	1	89.6	8.79	0.2	3.3
5/6/2017	2:30	16.04	1637	-105.1	8.34	15.59	2.7	0.9	89.5	8.78	0.2	3.3
5/6/2017	2:45	16.02	1637	-105.1	8.34	4.3	2.6	0.9	89.3	8.77	0.2	3.3
