Time America/Boise UTC-06:00,Temperature C,Sp Cond uS/cm,pH mV,pH,Turbidity NTU,Chlorophyll ug/L,Chlorophyll RFU,ODOSat %,ODO mg/L,BGA-Phycocyanin RFU,Wiper Pos V,Cable Pwr V,Battery V
4/11/2018 11:15,11.06,1874,-114.2,8.39,46.27,14.1,3.8,89.3,9.78,0.7,1,13,5.6
4/11/2018 11:30,10.98,1879,-114.2,8.39,46.55,14.4,3.9,89.2,9.78,0.8,1,13,5.6
4/11/2018 11:45,10.58,1865,-113.8,8.39,48.62,17.5,4.8,87.5,9.68,0.9,1,13,5.6
4/11/2018 12:00,10.67,1864,-114.1,8.39,47.96,16.9,4.6,88,9.72,0.8,1,13,5.6
4/11/2018 12:15,10.71,1864,-114.3,8.4,49.47,16.4,4.5,88.3,9.75,0.8,1,13,5.6
4/11/2018 12:30,10.75,1861,-114.4,8.4,47.66,15.5,4.2,88.7,9.78,0.7,1,13,5.6
4/11/2018 12:45,10.66,1865,-114.3,8.4,48.23,15,4.1,88.6,9.79,0.8,1,13,5.6
4/11/2018 13:00,10.82,1886,-114.8,8.41,47.22,15.4,4.2,90.4,9.95,0.8,1,13,5.6
4/11/2018 13:15,10.84,1915,-114.4,8.4,50.8,14.9,4.1,90,9.91,0.8,1,13,5.6
4/11/2018 13:30,11.03,1912,-114.9,8.41,50.35,14.7,4,91.3,10,0.8,1,13,5.6
4/11/2018 13:45,10.96,1919,-115,8.41,50.01,14.1,3.8,90.9,9.97,0.7,1,14,5.6
4/11/2018 14:00,10.99,1920,-115.2,8.41,50.64,13.9,3.8,91.6,10.04,0.7,1,13,5.6
4/11/2018 14:15,11,1919,-115.3,8.42,46.94,14.8,4.1,91.6,10.04,0.7,1,14,5.6
4/11/2018 14:30,10.82,1921,-115,8.41,50.75,15.1,4.1,90.5,9.96,0.8,1,14,5.6
4/11/2018 14:45,10.83,1920,-114.8,8.41,50.49,14.9,4.1,90.3,9.94,0.7,1,13,5.6
4/11/2018 15:00,10.84,1920,-114.9,8.41,50.75,14.9,4.1,90.2,9.92,0.8,1,14,5.6
4/11/2018 15:15,10.89,1920,-114.9,8.41,50.89,14.8,4.1,90.6,9.96,0.8,1,14,5.6
4/11/2018 15:30,11.01,1919,-115.1,8.41,50.43,14.8,4,90.5,9.92,0.7,1,14,5.6
4/11/2018 15:45,11.85,1906,-116,8.42,49.47,14.1,3.9,92.6,9.95,0.7,1,13,5.6
4/11/2018 16:00,12.33,1905,-116.2,8.42,48.43,13.4,3.7,93.9,9.99,0.7,1,13,5.6
4/11/2018 16:15,12.46,1911,-116.6,8.43,47.45,13.1,3.6,95.3,10.11,0.7,1,13,5.6
4/11/2018 16:30,12.36,1909,-116.6,8.43,46.7,13.8,3.8,95,10.1,0.7,1,13,5.6
4/11/2018 16:45,12.53,1908,-116.6,8.43,47.41,13.4,3.7,95.4,10.1,0.7,1,13,5.6
4/11/2018 17:00,12.34,1906,-116.5,8.43,47.91,13.2,3.6,94.3,10.02,0.7,1,13,5.6
4/11/2018 17:15,12.33,1908,-116.3,8.43,47.15,13.3,3.6,93.9,9.98,0.7,1,13,0
4/11/2018 17:30,12.38,1913,-116.3,8.43,47.01,13,3.6,94.2,10.01,0.6,1,13,5.6
4/11/2018 17:45,11.8,1914,-115.4,8.41,47.08,13.4,3.7,91,9.79,0.7,1,13,5.6
4/11/2018 18:00,11.74,1916,-115.2,8.41,47.71,14.1,3.9,90.4,9.75,0.7,1,13,5.6
4/11/2018 18:15,11.46,1917,-114.7,8.4,49.86,13.7,3.7,88.9,9.64,0.6,1,13,5
4/11/2018 18:30,11.37,1918,-114.5,8.4,51.28,13.8,3.8,88.3,9.6,0.7,1,13,5.6
4/11/2018 18:45,11.34,1918,-114.3,8.39,54.64,14.1,3.8,88.1,9.58,0.7,1,13,5.1
4/11/2018 19:00,11.33,1918,-114.4,8.4,56.64,14.3,3.9,88,9.57,0.7,1,13,5.5
4/11/2018 19:15,11.32,1918,-114.5,8.4,57.69,14.1,3.9,87.9,9.56,0.7,1,12,5.6
4/11/2018 19:30,11.32,1918,-114.5,8.4,62.37,14.1,3.9,87.8,9.56,0.7,1,12,5.6
4/11/2018 19:45,11.33,1918,-114.6,8.4,63.71,14.2,3.9,87.8,9.56,0.7,1,12,5.6
4/11/2018 20:00,11.33,1918,-114.5,8.4,65.84,14.6,4,87.8,9.55,0.7,1,12,5.6
4/11/2018 20:15,11.32,1918,-114.6,8.4,66.21,15.3,4.2,87.7,9.54,0.8,1,12,5
4/11/2018 20:30,11.31,1918,-114.6,8.4,66.5,15.6,4.3,87.6,9.54,0.7,1,12,5.6
4/11/2018 20:45,11.3,1918,-114.7,8.4,67.36,15.7,4.3,87.6,9.53,0.8,1,12,5.2
4/11/2018 21:00,11.28,1917,-114.7,8.4,68.19,15.8,4.3,87.5,9.53,0.7,1,12,5.6
4/11/2018 21:15,11.27,1916,-114.8,8.4,68.92,15.8,4.3,87.4,9.52,0.8,1,12,5.6
