Time America/Boise UTC-06:00,Temperature C,Sp Cond uS/cm,pH mV,pH,Turbidity NTU,Chlorophyll ug/L,Chlorophyll RFU,ODOSat %,ODO mg/L,BGA-Phycocyanin RFU,Wiper Pos V,Cable Pwr V,Battery V,FDOM RFU
4/11/2018 10:30,11.88,1782,-146.1,8.2,42.49,15.3,4.1,89.1,9.58,0.6,1,13,5.2,1.2
4/11/2018 10:45,11.78,1783,-143.7,8.15,42.89,16.6,4.4,87.4,9.42,0.6,1,13,5.3,1.1
4/11/2018 11:00,11.79,1784,-144.3,8.17,41.24,18.2,4.9,89,9.58,0.7,1,13,5.2,1.2
4/11/2018 11:15,11.66,1783,-143.1,8.14,42.65,20.3,5.4,87.1,9.41,0.7,1,13,5.2,1.2
4/11/2018 11:30,11.68,1784,-143.5,8.15,42.06,15.8,4.2,87.5,9.45,0.7,1,13,5.2,1.2
4/11/2018 11:45,11.69,1783,-143.9,8.16,44.56,21.5,5.8,88,9.49,0.8,1,13,5.2,1.2
4/11/2018 12:00,11.67,1782,-144.1,8.16,45.77,18.2,4.9,88,9.5,0.7,1,14,5.3,1.2
4/11/2018 12:15,11.74,1783,-144.6,8.17,45.2,17.1,4.6,88.8,9.58,0.7,1,13,5.3,1.2
4/11/2018 12:30,11.68,1783,-144.5,8.17,45.49,16,4.3,88,9.5,0.6,1,13,5.2,1.1
4/11/2018 12:45,11.7,1783,-145,8.18,44.5,16.3,4.4,88.7,9.57,0.7,1,13,5.3,1.2
4/11/2018 13:00,11.77,1784,-144.9,8.18,43.99,17.2,4.6,88.9,9.58,0.7,1,13,5.2,1.2
4/11/2018 13:15,11.73,1786,-144.6,8.17,43.58,17.1,4.6,88.4,9.54,0.7,1,13,5.2,1.1
4/11/2018 13:30,11.8,1788,-145.3,8.19,43.34,16.7,4.5,88.6,9.53,0.7,1,13,5.3,1.1
4/11/2018 13:45,11.75,1789,-144,8.16,44.78,15.7,4.2,87.5,9.43,0.6,1,14,5.3,1.1
4/11/2018 14:00,11.73,1788,-144.3,8.17,42.94,15.6,4.2,87.6,9.45,0.6,1,13,5.2,1.1
4/11/2018 14:15,11.62,1759,-143.6,8.15,42.76,17.3,4.6,85.9,9.28,0.6,1,13,5.3,1.3
4/11/2018 14:30,11.64,1784,-143.8,8.16,45.17,15.8,4.2,86.6,9.36,0.6,1,13,5.3,1.1
4/11/2018 14:45,11.62,1782,-143.3,8.15,46.6,15.9,4.3,85.8,9.28,0.5,1,13,5.3,1.1
4/11/2018 15:00,11.7,1778,-144.1,8.16,44.43,16.7,4.5,86.7,9.36,0.7,1,13,5.2,1.2
4/11/2018 15:15,11.93,1769,-143.6,8.15,41.69,17.5,4.7,86.1,9.25,0.7,1,13,5.3,1.3
4/11/2018 15:30,11.78,1758,-144,8.16,41.84,17.7,4.7,85.4,9.2,0.6,1,13,5.2,1.3
4/11/2018 15:45,12.15,1762,-145.8,8.2,42.22,16.9,4.5,87.1,9.3,0.6,1,13,5.3,1.2
4/11/2018 16:00,12.27,1766,-145.9,8.2,41.77,17.9,4.8,88,9.37,0.6,1,13,5.2,1.2
4/11/2018 16:15,12.74,1761,-147,8.21,40.14,19.1,5.1,89.7,9.45,0.7,1,13,5.2,1.2
4/11/2018 16:30,12.29,1752,-147,8.22,41.69,19,5.1,87.9,9.36,0.7,1,13,5.2,1.3
4/11/2018 16:45,13.16,1768,-148.3,8.24,40.57,16.2,4.3,93.6,9.77,0.6,1,13,5.3,1.2
4/11/2018 17:00,13.24,1763,-148.4,8.24,39.89,15.3,4.1,93.1,9.71,0.6,1,13,5.3,1.2
4/11/2018 17:15,13.47,1762,-149.2,8.25,40.18,15.1,4,93.8,9.73,0.6,1,13,5.2,1.2
4/11/2018 17:30,12.94,1759,-147.7,8.23,40.5,15.4,4.1,91.8,9.64,0.6,1,13,5.2,1.2
4/11/2018 17:45,12.73,1756,-146.5,8.21,41.38,15.4,4.1,90.7,9.56,0.6,1,13,5.2,1.2
4/11/2018 18:00,12.48,1755,-145.9,8.2,42.15,16,4.3,89.6,9.5,0.6,1,13,5.3,1.2
4/11/2018 18:15,12.29,1755,-145.3,8.18,42.27,16.1,4.3,88.4,9.41,0.6,1,13,5.2,1.2
4/11/2018 18:30,12.11,1754,-144.5,8.17,43.12,15.8,4.2,87.2,9.33,0.6,1,13,5.2,1.2
4/11/2018 18:45,12.01,1754,-144.4,8.17,45.14,16.2,4.3,86.8,9.3,0.6,1,13,5.3,1.2
4/11/2018 19:00,11.94,1753,-144.1,8.16,46.63,16.2,4.3,86.6,9.3,0.6,1,13,5.3,1.2
4/11/2018 19:15,11.89,1753,-144.1,8.16,48.09,16.2,4.3,86.4,9.28,0.6,1,12,5.3,1.2
4/11/2018 19:30,11.81,1752,-143.9,8.16,52.37,16.7,4.5,86,9.26,0.7,1,12,5.3,1.1
4/11/2018 19:45,11.77,1751,-143.6,8.15,52.15,16.8,4.5,86.1,9.27,0.7,1,12,5.2,1.1
4/11/2018 20:00,11.73,1750,-143.9,8.16,54.75,17.5,4.7,86.2,9.29,0.6,1,12,5.3,1.1
