Time America/Boise UTC-06:00,Temp C,Sp Cond (uS/cm),pH (mV),pH,Turbidity (NTU),Chlorophyll (ug/L),Chlorophyll RFU,ODOSat%,ODO (mg/L),BGA-Phycocyanin RFU,Wiper Pos V,Cable Pwr V,Battery V
4/11/2018 12:00,10.39,1885,-87.7,8.45,47.62,10.8,2.7,84.9,9.44,0.6,1,12.26,6.4
4/11/2018 12:15,11.67,1887,-89.3,8.48,43.17,9.1,2.3,90.4,9.75,0.5,1,12.23,6.4
4/11/2018 12:30,11.42,1890,-89.4,8.48,43.86,9.4,2.3,90,9.78,0.6,1,12.28,6.4
4/11/2018 12:45,11.4,1887,-89.7,8.49,43.42,10.2,2.5,89.6,9.73,0.6,1,12.43,6.39
4/11/2018 13:00,11.08,1885,-89.8,8.49,44.26,10.7,2.7,88.4,9.67,0.6,1,12.26,6.4
4/11/2018 13:15,10.83,1886,-89.8,8.49,45.43,11.8,2.9,88,9.69,0.6,1,12.39,6.4
4/11/2018 13:30,10.74,1885,-90,8.49,45.68,12,3,87.8,9.68,0.6,1,12.34,6.4
4/11/2018 13:45,10.72,1884,-90.1,8.5,45.4,12.2,3,87.6,9.66,0.6,1,12.33,6.4
4/11/2018 14:00,10.97,1885,-90.5,8.5,45.23,12.4,3.1,88.5,9.71,0.6,1,12.35,6.4
4/11/2018 14:15,10.83,1882,-90.6,8.51,45.5,12.9,3.2,88.2,9.7,0.7,1,12.54,6.4
4/11/2018 14:30,10.82,1881,-90.8,8.51,44.61,13,3.2,88.2,9.71,0.6,1,12.51,6.4
4/11/2018 14:45,10.89,1881,-90.9,8.51,44.2,13,3.2,88.5,9.73,0.7,1,12.63,6.4
4/11/2018 15:00,10.84,1880,-90.9,8.51,43.62,13.4,3.3,88.3,9.72,0.7,1,12.63,6.4
4/11/2018 15:15,10.96,1879,-91,8.51,45,14.1,3.5,88.4,9.69,0.7,1,12.32,6.4
4/11/2018 15:30,11.19,1882,-91.8,8.53,44.2,12.1,3,91.3,9.97,0.6,1,12.53,6.4
4/11/2018 15:45,11.3,1882,-91.9,8.53,44.9,11.1,2.8,91,9.9,0.6,1,12.63,6.4
4/11/2018 16:00,10.84,1879,-91.3,8.52,43.65,13.7,3.4,88.5,9.74,0.7,1,12.54,6.4
4/11/2018 16:15,11.02,1877,-91.3,8.52,45.11,14,3.5,89.6,9.82,0.7,1,12.58,6.4
4/11/2018 16:30,11.12,1878,-92.1,8.53,44.93,13.6,3.4,91.2,9.96,0.6,1,12.7,6.4
4/11/2018 16:45,11.59,1892,-92.1,8.53,41.83,13.4,3.3,91.4,9.89,0.7,1,12.67,6.4
4/11/2018 17:00,11.08,1878,-92,8.53,44.56,11.9,3,90.6,9.92,0.6,1,12.66,6.4
4/11/2018 17:15,10.69,1884,-90.7,8.51,43.87,11.8,2.9,87.1,9.62,0.6,1,12.62,6.4
4/11/2018 17:30,12.07,1883,-91.7,8.52,42.64,10.2,2.5,91.3,9.77,0.5,1,12.59,6.4
4/11/2018 17:45,11.79,1883,-91.4,8.52,43.37,10.7,2.7,90.1,9.7,0.6,1,12.19,6.4
4/11/2018 18:00,11.52,1882,-91,8.51,44.28,10.9,2.7,88.9,9.63,0.6,1,12.12,6.4
4/11/2018 18:15,11.55,1881,-91.1,8.51,44.01,11,2.7,89.1,9.64,0.6,1,12,6.4
4/11/2018 18:30,11.44,1881,-90.9,8.51,45.04,11.1,2.8,88.6,9.62,0.5,1,11.95,6.4
4/11/2018 18:45,11.37,1880,-90.8,8.51,43.88,11.2,2.8,88.2,9.59,0.6,1,11.91,6.4
4/11/2018 19:00,11.34,1880,-90.8,8.51,46.18,11.1,2.8,88.1,9.58,0.6,1,11.85,6.4
4/11/2018 19:15,11.3,1880,-90.9,8.51,46.89,11.4,2.8,87.9,9.57,0.6,1,11.87,6.4
4/11/2018 19:30,11.27,1880,-90.8,8.51,47.6,11.5,2.9,87.6,9.54,0.6,1,11.84,6.4
4/11/2018 19:45,11.23,1879,-90.7,8.51,48.85,11.5,2.9,87.3,9.52,0.6,1,11.82,6.4
4/11/2018 20:00,11.23,1879,-90.7,8.51,50.29,11.9,3,87.2,9.51,0.6,1,11.78,6.4
4/11/2018 20:15,11.21,1879,-90.8,8.51,51.89,12.4,3.1,87.1,9.5,0.6,1,11.8,6.4
4/11/2018 20:30,11.15,1878,-90.8,8.51,51.96,12.8,3.2,86.9,9.49,0.6,1,11.77,6.4
4/11/2018 20:45,11.2,1878,-90.7,8.51,53.55,12.8,3.2,87,9.49,0.6,1,11.76,6.4
4/11/2018 21:00,11.15,1877,-90.9,8.51,54.16,12.9,3.2,87,9.5,0.7,1,11.75,6.4
4/11/2018 21:15,11.05,1876,-90.7,8.51,55.26,12.9,3.2,86.6,9.49,0.6,1,11.72,6.4
4/11/2018 21:30,11.1,1876,-90.8,8.51,55.59,13.1,3.2,86.8,9.49,0.6,1,11.75,6.4
4/11/2018 21:45,11.07,1876,-90.8,8.51,55.04,13.1,3.3,86.6,9.48,0.6,1,11.73,6.4
4/11/2018 22:00,11.05,1876,-90.8,8.51,53.15,13,3.2,86.5,9.47,0.7,1,11.7,6.4
4/11/2018 22:15,11.05,1876,-90.8,8.51,57.86,13,3.2,86.5,9.47,0.7,1,11.73,6.4
4/11/2018 22:30,11.06,1877,-90.8,8.51,56.57,12.8,3.2,86.5,9.46,0.7,1,11.71,6.4
4/11/2018 22:45,11.06,1877,-90.7,8.51,56.38,13,3.2,86.4,9.45,0.7,1,11.71,6.4
4/11/2018 23:00,11.04,1877,-90.8,8.51,56.73,13.2,3.3,86.3,9.45,0.6,1,11.68,6.4
4/11/2018 23:15,11.02,1877,-90.7,8.51,55.63,13.1,3.3,86.2,9.44,0.6,1,11.68,6.4
4/11/2018 23:30,11.04,1877,-90.7,8.51,56.38,12.8,3.2,86.2,9.44,0.7,1,11.65,6.4
4/11/2018 23:45,11.02,1877,-90.8,8.51,59.31,13.5,3.4,86.2,9.44,0.7,1,11.68,6.4
4/12/2018 0:00,11.01,1877,-90.7,8.51,56.07,13.6,3.4,86.1,9.44,0.7,1,11.67,6.4
4/12/2018 0:15,10.98,1877,-90.7,8.51,49.98,13.6,3.4,86,9.43,0.7,1,11.66,6.4
4/12/2018 0:30,10.98,1877,-90.7,8.51,54.88,13.6,3.4,86,9.43,0.7,1,11.64,6.4
4/12/2018 0:45,10.97,1877,-90.8,8.51,53.88,13.3,3.3,86,9.43,0.7,1,11.65,6.4
4/12/2018 1:00,10.96,1877,-90.7,8.51,53.26,15.2,3.8,86,9.44,0.7,1,11.61,6.4
