Time America/Boise UTC-06:00,Temp C,Sp Cond (uS/cm),pH (mV),pH,Turbidity (NTU),Chlorophyll (ug/L),Chlorophyll RFU,ODOSat%,ODO (mg/L),BGA-Phycocyanin RFU,Wiper Pos V,Cable Pwr V,Battery V
4/17/2019 11:45,16.69,2,36.6,5.99,-0.36,1,0.3,98.9,9.62,0.5,1,13,6.45
4/17/2019 12:00,16.82,2,36.3,6,-0.26,1,0.3,98.9,9.6,0.5,1,12.74,6.45
4/17/2019 12:15,16.95,2,36.7,5.99,-0.11,1,0.3,98.9,9.57,0.5,1,12.69,6.45
4/17/2019 12:30,17.08,2,36.1,6,-0.13,1,0.3,98.9,9.55,0.4,1,13,6.45
4/17/2019 12:45,17.2,2,35.7,6.01,-0.28,0.9,0.3,98.8,9.51,0.4,1,13.08,6.45
4/17/2019 13:00,17.34,2,35.9,6.01,-0.28,0.9,0.2,98.9,9.49,0.5,1,12.68,6.45
4/17/2019 13:15,17.83,2,40.6,5.92,-0.31,1.8,0.5,99.1,9.42,0.8,1,12.67,6.45
4/17/2019 13:30,18.47,3,46.3,5.82,1.26,0.9,0.2,99.1,9.29,0.4,1,12.22,6.45
4/17/2019 13:45,18.57,3,45.5,5.83,1.3,0.9,0.3,99,9.27,0.4,1,12.15,6.45
4/17/2019 14:15,18.61,3,44.8,5.85,0.42,1,0.3,98.9,9.25,0.4,1,12.12,6.45
4/17/2019 14:30,18.65,3,37.3,5.99,0.39,0.9,0.2,98.9,9.24,0.4,1,12.12,6.45
4/17/2019 14:45,18.68,3,44.4,5.86,0.57,1,0.3,98.8,9.23,0.4,1,12.12,6.45
4/17/2019 15:00,18.7,3,35.9,6.01,0.49,1,0.3,98.8,9.22,0.4,1,12.12,6.45
4/17/2019 15:15,18.71,3,36.4,6,0.45,1,0.3,98.7,9.21,0.4,1,12.12,6.45
4/17/2019 15:30,18.72,3,43.8,5.87,0.63,0.9,0.2,98.7,9.21,0.4,1,12.12,6.45
4/17/2019 15:45,18.72,3,43.7,5.87,0.33,0.9,0.3,98.7,9.21,0.4,1,12.12,6.45
4/17/2019 16:00,18.7,3,40,5.94,0.44,0.8,0.2,98.7,9.21,0.4,1,12.12,6.45
4/17/2019 16:15,18.69,3,43.5,5.87,0.49,0.9,0.3,98.6,9.21,0.4,1,12.08,6.45
4/17/2019 16:30,18.68,3,43.4,5.87,0.56,0.9,0.3,98.6,9.21,0.4,1,12.04,6.45
4/17/2019 16:45,18.66,3,43.1,5.88,0.29,0.9,0.2,98.6,9.21,0.4,1,12.12,6.45
