Time America/Boise UTC-06:00,Temp C,Sp Cond (uS/cm),pH (mV),pH,Turbidity (NTU),Chlorophyll RFU,ODOSat%,ODO (mg/L),BGA-Phycocyanin RFU,Wiper Pos V,Cable Pwr V,Battery V
4/17/2019 11:45,21.79,1,-1.8,6.2,0,0.1,74.4,6.53,0.4,1,12.71,6.4
4/17/2019 12:00,21.93,1,-2,6.2,0.05,0.1,74.3,6.5,0.4,1,12.47,6.4
4/17/2019 12:15,22.08,2,-2.1,6.21,0,0.1,74.3,6.49,0.4,1,13.16,6.4
4/17/2019 12:30,22.21,1,-2.4,6.21,0.1,0.1,74.4,6.48,0.4,1,12.47,6.4
4/17/2019 12:45,22.34,1,-2.6,6.22,0,0.1,74.3,6.46,0.3,1,12.49,6.4
4/17/2019 13:00,22.48,2,-2.8,6.22,0,0.1,74.3,6.44,0.4,1,13.41,6.4
4/17/2019 13:15,22.6,2,-3,6.22,0,0.1,74.2,6.41,0.4,1,12.46,6.4
4/17/2019 13:30,22.72,1,-3.4,6.23,0,0.3,74.3,6.41,0.7,1,12.29,6.4
4/17/2019 13:45,22.78,2,-3.2,6.23,0.06,0.1,74.3,6.4,0.4,1,12.12,6.4
4/17/2019 14:00,22.81,2,-3.4,6.23,0,0.1,74.3,6.4,0.3,1,12.12,6.4
4/17/2019 14:15,22.82,2,-3.5,6.23,0,0.1,74.4,6.4,0.4,1,13.33,6.4
4/17/2019 14:30,22.81,2,-3.6,6.23,0,0.1,74.4,6.4,0.4,1,12.8,6.4
4/17/2019 14:45,22.79,2,-3.9,6.24,0,0.1,74.4,6.41,0.4,1,12.99,6.4
4/17/2019 15:00,22.77,2,-4.3,6.25,0,0.1,74.3,6.41,0.4,1,12.81,6.4
4/17/2019 15:15,22.75,2,-4.4,6.25,0,0.1,74.4,6.41,0.4,1,13.37,6.4
4/17/2019 15:30,22.72,2,-4.6,6.25,0,0.1,74.4,6.42,0.4,1,12.77,6.4
4/17/2019 15:45,22.65,1,-4.6,6.25,0,0.1,74.4,6.42,0.4,1,13.36,6.4
4/17/2019 16:00,22.54,1,-4.5,6.25,0,0.1,74.4,6.44,0.3,1,13.35,6.4
4/17/2019 16:15,22.52,1,-5,6.26,0,0.1,74.5,6.45,0.4,1,12.75,6.4
4/17/2019 16:30,22.45,1,-5,6.26,0,0.1,74.4,6.45,0.4,1,12.78,6.4
4/17/2019 16:45,22.44,1,-5.1,6.26,0,0.1,74.5,6.46,0.4,1,13.34,6.4
4/17/2019 17:00,22.42,1,-5.2,6.26,0,0.1,74.5,6.46,0.4,1,13.34,6.4
4/17/2019 17:15,22.35,1,-5.1,6.26,0.13,0.1,74.4,6.46,0.3,1,13.32,6.4
4/17/2019 17:30,22.25,1,-4.8,6.25,0,0.1,74.3,6.47,0.4,1,13.32,6.4
4/17/2019 17:45,22.15,1,-4.5,6.25,0,0.1,74.3,6.48,0.4,1,13.33,6.4
4/17/2019 18:00,22.07,1,-4.8,6.25,0,0.1,74.3,6.49,0.4,1,12.74,6.4
4/17/2019 18:15,21.99,1,-4.7,6.25,0,0.1,74.4,6.51,0.4,1,13.33,6.4
4/17/2019 18:30,21.94,1,-4.7,6.25,0.45,0.1,74.4,6.52,0.4,1,13.31,6.4
4/17/2019 18:45,21.93,1,-4.7,6.25,0,0,74.4,6.51,0.3,1,13.31,6.41
4/17/2019 19:00,21.91,1,-3.9,6.24,0,0.1,74.4,6.52,0.5,1,12.74,6.4
4/17/2019 19:15,21.91,1,-4.1,6.24,0,0.1,74.4,6.52,0.4,1,13.34,6.4
4/17/2019 19:30,21.9,1,-3,6.22,0,0.1,74.4,6.52,0.4,1,13.35,6.4
4/17/2019 19:45,21.92,1,-3.4,6.23,0.06,0.1,74.4,6.52,0.3,1,12.65,6.4
4/17/2019 20:00,21.95,1,-3.1,6.22,0.04,0.1,74.3,6.5,0.4,1,13.31,6.4
4/17/2019 20:15,21.96,1,-3,6.22,0.27,0.1,74.3,6.51,0.4,1,13.31,6.41
4/17/2019 20:30,21.97,1,-2.4,6.21,0.22,0.1,74.3,6.5,0.3,1,13.3,6.4
4/17/2019 20:45,21.99,1,-2.5,6.21,0.14,0.1,74.3,6.5,0.5,1,13.27,6.4
4/17/2019 21:00,22.01,1,-0.7,6.18,0.05,0.1,74.3,6.49,0.3,1,13.27,6.4
4/17/2019 21:15,22.03,1,-0.5,6.18,0.24,0,74.3,6.49,0.3,1,13.31,6.4
4/17/2019 21:30,22.04,1,-1.6,6.2,0.72,0.1,74.1,6.48,0.5,1,12.97,6.4
4/17/2019 21:45,22.06,1,-0.8,6.18,1.53,0.1,74.2,6.48,0.6,1,12.68,6.4
4/17/2019 22:00,22.06,1,2.4,6.13,2.41,0.1,74.1,6.47,0.5,1,12.95,6.41
4/17/2019 22:15,22.08,1,2.6,6.12,5.92,0.1,74,6.46,0.6,1,12.68,6.4
4/17/2019 22:30,22.12,1,2.9,6.12,7.59,0.1,73.7,6.43,0.7,1,12.65,6.4
4/17/2019 22:45,22.11,1,1.7,6.14,7.6,0.1,73.7,6.43,0.7,1,13.29,6.4
4/17/2019 23:00,22.14,1,6.3,6.06,8.21,0.1,73.5,6.41,0.7,1,13.29,6.4
4/17/2019 23:15,22.21,1,4.7,6.09,7.97,0.1,73.5,6.4,0.6,1,13.31,6.4
4/17/2019 23:30,22.23,1,4.6,6.09,7.05,0.2,73.2,6.37,0.7,1,13.29,6.41
4/17/2019 23:45,22.26,1,8.1,6.03,6.79,0.2,72.7,6.33,0.7,1,12.67,6.4
4/18/2019 0:00,22.26,1,5.6,6.07,6.83,0.1,72.8,6.33,0.7,1,13.28,6.4
4/18/2019 0:15,22.28,1,8.4,6.02,6.43,0.1,72.7,6.32,0.7,1,12.64,6.4
4/18/2019 0:30,22.26,1,9.4,6,6.67,0.1,72.5,6.31,0.7,1,12.69,6.4
4/18/2019 0:45,22.28,1,13,5.94,6.42,0.1,72,6.27,0.7,1,12.9,6.4
4/18/2019 1:00,22.26,1,11.9,5.96,6.41,0.1,72.3,6.29,0.6,1,13.31,6.4
4/18/2019 1:15,22.26,1,11,5.97,6.06,0.1,72.1,6.27,0.7,1,12.67,6.41
4/18/2019 1:30,22.26,1,12.6,5.95,5.75,0.2,72.1,6.28,0.6,1,13.31,6.41
4/18/2019 1:45,22.27,1,14.1,5.92,6,0.1,72.1,6.27,0.6,1,13.3,6.4
4/18/2019 2:00,22.24,1,15,5.9,5.64,0.1,72.1,6.27,0.7,1,13.31,6.4
4/18/2019 2:15,22.24,1,17.3,5.86,5.3,0.1,72.1,6.28,0.6,1,13.32,6.4
4/18/2019 2:30,22.21,1,16.7,5.87,4.77,0.1,72.3,6.3,0.6,1,13.25,6.41
4/18/2019 2:45,22.24,1,20.1,5.81,4.45,0.1,72.1,6.28,0.6,1,13.29,6.4
4/18/2019 3:00,22.19,1,20.3,5.81,4.69,0.1,72.5,6.31,0.6,1,12.66,6.4
4/18/2019 3:15,22.15,1,20.7,5.8,4.51,0.1,72.4,6.32,0.5,1,13.3,6.4
4/18/2019 3:30,22.14,1,23.2,5.76,4.63,0.1,72.4,6.31,0.6,1,13.28,6.4
4/18/2019 3:45,22.13,1,23,5.76,3.93,0.1,72.4,6.32,0.6,1,12.64,6.4
4/18/2019 4:00,22.15,1,24.1,5.74,3.84,0.1,72.4,6.31,0.5,1,13.16,6.4
4/18/2019 4:15,22.13,1,24.9,5.73,3.4,0.1,72.4,6.31,0.5,1,12.63,6.4
4/18/2019 4:30,22.12,1,24.8,5.73,3.83,0.1,72.4,6.32,0.6,1,12.67,6.41
4/18/2019 4:45,22.13,1,25.7,5.71,3.64,0.1,72.5,6.32,0.7,1,12.68,6.41
4/18/2019 5:00,22.15,1,25.9,5.71,3.38,0.2,72.4,6.31,0.7,1,12.65,6.4
4/18/2019 5:15,22.14,1,26.4,5.7,3.28,0.1,72.5,6.32,0.7,1,12.68,6.41
4/18/2019 5:30,22.09,1,26.5,5.7,3.28,0.1,72.5,6.33,0.6,1,12.96,6.41
4/18/2019 5:45,22.08,1,26.8,5.69,3.45,0.1,72.4,6.32,0.7,1,13.32,6.4
4/18/2019 6:00,22.05,1,26.6,5.7,3.19,0.1,72.4,6.33,0.7,1,12.65,6.4
4/18/2019 6:15,22.03,1,26.8,5.69,3.21,0.2,72.5,6.33,0.7,1,12.66,6.4
4/18/2019 6:30,22,1,26.6,5.7,3.26,0.2,72.4,6.33,0.8,1,12.61,6.41
4/18/2019 6:45,21.96,1,26.4,5.7,3.24,0.2,72.5,6.34,0.8,1,12.65,6.41
4/18/2019 7:00,21.89,1,26.3,5.7,3.29,0.2,72.4,6.35,0.9,1,13.12,6.4
4/18/2019 7:15,21.68,1,27.5,5.68,3.32,0.2,72.3,6.36,0.8,1,13.27,6.4
4/18/2019 7:30,21.57,1,26.9,5.69,3.34,0.2,72.3,6.38,0.8,1,12.8,6.41
4/18/2019 7:45,21.5,1,26.5,5.7,3.28,0.2,72.4,6.4,0.9,1,13.29,6.41
4/18/2019 8:00,21.38,0,26.6,5.69,3.39,0.2,72.4,6.41,0.8,1,12.79,6.41
4/18/2019 8:15,21.22,0,26.7,5.69,3.37,0.2,72.5,6.44,0.9,1,12.64,6.41
4/18/2019 8:30,21.02,0,26.8,5.69,3.4,0.2,72.5,6.46,0.9,1,12.74,6.41
4/18/2019 8:45,20.88,0,26.3,5.7,3.39,0.2,72.4,6.47,0.9,1,12.59,6.4
4/18/2019 9:00,20.8,0,25.6,5.71,3.39,0.2,72.5,6.49,0.9,1,13.24,6.41
4/18/2019 9:15,20.72,0,25,5.72,3.36,0.2,72.5,6.5,0.9,1,12.3,6.41
4/18/2019 9:30,20.6,0,24.2,5.73,3.43,0.2,72.5,6.52,0.9,1,12.7,6.4
4/18/2019 9:45,20.49,0,23.7,5.74,3.37,0.2,72.5,6.53,0.9,1,12.32,6.4
4/18/2019 10:00,20.41,0,22.8,5.76,3.35,0.2,72.4,6.53,0.9,1,12.3,6.41
4/18/2019 10:15,20.34,0,21.9,5.77,3.37,0.2,72.3,6.53,1,1,13.23,6.4
4/18/2019 10:30,20.31,0,20.9,5.79,3.4,0.2,72.3,6.53,0.9,1,12.31,6.41
4/18/2019 10:45,20.31,0,19.8,5.81,3.36,0.2,72.3,6.53,0.9,1,12.3,6.41
4/18/2019 11:00,20.33,0,19,5.82,3.41,0.2,72.3,6.53,0.9,1,12.31,6.41
4/18/2019 11:15,20.35,0,18,5.84,3.38,0.2,72.2,6.52,0.9,1,12.32,6.41
4/18/2019 11:30,20.38,0,17.3,5.86,3.37,0.2,72.2,6.51,0.9,1,13.24,6.41
4/18/2019 11:45,20.42,0,16.5,5.87,3.36,0.2,72.2,6.51,0.9,1,12.86,6.41
4/18/2019 12:00,20.47,0,15.7,5.88,3.34,0.2,72.1,6.5,0.9,1,12.33,6.41
4/18/2019 12:15,20.53,0,15.4,5.89,3.39,0.2,72.2,6.5,0.8,1,12.34,6.41
4/18/2019 12:30,20.6,0,14.6,5.9,3.33,0.2,72.2,6.49,0.9,1,13.26,6.41
4/18/2019 12:45,20.67,0,13.7,5.92,3.31,0.2,72.2,6.48,0.9,1,12.3,6.41
4/18/2019 13:00,20.74,1,13.2,5.93,3.36,0.2,72.2,6.47,0.9,1,12.49,6.41
4/18/2019 13:15,20.81,1,12.6,5.94,3.28,0.2,72.1,6.45,0.8,1,13.12,6.41
4/18/2019 13:30,20.89,1,12,5.95,3.27,0.2,72.1,6.44,0.9,1,12.34,6.41
4/18/2019 13:45,20.97,1,11.6,5.96,3.31,0.2,72,6.42,0.9,1,13.02,6.4
4/18/2019 14:00,21.05,1,11,5.97,3.26,0.3,71.9,6.41,0.9,1,12.34,6.41
4/18/2019 14:15,21.12,1,10.6,5.98,3.27,0.2,71.9,6.39,0.9,1,12.37,6.41
4/18/2019 14:30,21.21,1,10.2,5.99,3.29,0.2,71.8,6.38,0.8,1,12.8,6.41
4/18/2019 14:45,21.3,1,9.8,5.99,3.31,0.2,71.9,6.38,0.9,1,12.9,6.4
4/18/2019 15:00,21.38,1,9.4,6,3.28,0.2,71.9,6.37,0.8,1,13.22,6.41
4/18/2019 15:15,21.46,1,9,6.01,3.26,0.2,71.9,6.35,0.9,1,12.82,6.4
4/18/2019 15:30,21.54,1,8.7,6.01,3.21,0.2,71.9,6.34,0.8,1,12.37,6.4
4/18/2019 15:45,21.61,1,8.4,6.02,3.24,0.2,71.8,6.33,0.8,1,12.49,6.41
4/18/2019 16:00,21.67,1,8,6.02,3.25,0.2,71.8,6.32,0.8,1,12.92,6.41
4/18/2019 16:15,21.72,1,7.7,6.03,3.26,0.2,71.7,6.31,0.9,1,12.42,6.41
4/18/2019 16:30,21.77,1,7.3,6.04,3.27,0.2,71.7,6.3,0.9,1,12.92,6.4
4/18/2019 16:45,21.84,1,6.9,6.04,3.25,0.2,71.5,6.28,0.8,1,13.07,6.4
4/18/2019 17:00,21.9,1,6.5,6.05,3.21,0.2,71.6,6.27,0.8,1,13.15,6.4
4/18/2019 17:15,21.97,1,6.1,6.06,3.28,0.2,71.6,6.27,0.9,1,12.57,6.4
4/18/2019 17:30,22.03,1,5.9,6.06,3.22,0.2,71.7,6.26,0.8,1,12.45,6.4
4/18/2019 17:45,22.08,1,5.5,6.07,3.21,0.2,71.6,6.25,0.8,1,12.4,6.4
4/18/2019 18:00,22.14,1,5.1,6.08,3.19,0.2,71.6,6.25,0.8,1,12.46,6.4
4/18/2019 18:15,22.19,1,4.8,6.08,3.24,0.2,71.6,6.24,0.8,1,12.38,6.4
4/18/2019 18:30,22.25,1,4.7,6.09,3.17,0.2,71.5,6.22,0.8,1,12.41,6.41
4/18/2019 18:45,22.3,1,4.4,6.09,3.22,0.2,71.5,6.22,0.7,1,12.36,6.4
