Temperature,Conductivity,PH,Turbidity,ODO,BGA
23.19,2064,8.23,31,7.31,0
22.98,2052,8.28,31.06,7.19,0
22.99,2048,8.29,27.66,7.16,0
22.98,2048,8.29,28.36,7.12,0
22.96,2049,8.29,27.69,7.04,0
22.94,2047,8.29,28.05,6.94,0
23,2044,8.29,28.13,6.96,0
22.91,2041,8.28,28.45,6.84,0
22.91,2037,8.27,28.88,6.81,0
23.1,2035,8.27,27.49,6.9,0
23.28,2037,8.28,26.6,6.99,0
23.76,2048,8.28,24.61,7.12,0
23.88,2041,8.29,24.08,7.12,0
23.95,2046,8.3,23.89,7.25,0
24.34,2044,8.31,22.95,7.24,0
24.53,2051,8.32,22.06,7.33,0
24.45,2047,8.32,22.11,7.32,0
24.53,2048,8.33,21.83,7.38,0
24.35,2045,8.33,22.06,7.36,0
24.18,2043,8.33,22.51,7.32,0
24.11,2044,8.33,22.9,7.3,0
24.03,2045,8.33,28.48,7.27,0
23.93,2047,8.33,24.46,7.21,0
23.85,2049,8.33,25.59,7.15,0
23.77,2052,8.33,25.84,7.09,0
23.77,2050,8.34,26.12,7.13,0
23.78,2052,8.34,25.93,7.13,0
23.77,2047,8.35,25.39,7.21,0
23.73,2040,8.35,25.69,7.3,0
23.67,2034,8.36,25.29,7.36,0
23.61,2026,8.36,25.05,7.38,0
23.55,2026,8.36,23.92,7.38,0
23.5,2027,8.36,25.17,7.35,0
23.45,2029,8.36,23.68,7.3,0
23.42,2038,8.36,25.49,7.25,0
23.4,2033,8.36,24.87,7.27,0
23.36,2035,8.36,25.1,7.25,0
23.35,2037,8.36,24.52,7.21,0
23.3,2036,8.36,25.15,7.2,0
23.27,2039,8.36,26.24,7.17,0
23.21,2039,8.36,25.03,7.15,0
23.16,2042,8.36,25.81,7.1,0
23.11,2046,8.36,27.75,7.06,0
23.08,2048,8.36,28.65,7.02,0
23.04,2049,8.35,35.1,6.99,0
22.99,2050,8.35,36.05,6.99,0
22.97,2051,8.35,39.79,6.98,0
22.94,2052,8.35,38.71,6.97,0
22.91,2054,8.35,42.19,6.96,0
22.88,2055,8.35,43.05,6.95,0
22.83,2056,8.35,43.67,6.94,0
22.8,2057,8.36,47.14,6.93,0
22.76,2058,8.36,49.01,6.92,0
22.71,2058,8.36,47.95,6.91,0
22.68,2058,8.36,54.96,6.9,0
22.63,2057,8.36,54.21,6.91,0
22.6,2055,8.36,61.97,6.9,0
22.55,2054,8.36,50.79,6.9,0
22.52,2054,8.36,48.38,6.89,0
22.5,2054,8.36,47.5,6.88,0
22.48,2055,8.36,46.18,6.87,0
22.44,2055,8.36,44.69,6.85,0
22.41,2054,8.36,44.21,6.84,0
22.39,2055,8.36,43.23,6.83,0
22.35,2055,8.36,40.86,6.82,0
