Temperature,Conductivity,PH,Turbidity,ODO,BGA
15.02,1848,8.36,16.84,9.04,0
14.99,1847,8.36,16.76,9.04,0
14.96,1847,8.36,16.82,9.04,0
14.95,1848,8.36,17.19,9.03,0
14.92,1848,8.36,16.85,9.02,0
14.92,1850,8.36,16.43,9.02,0
14.9,1851,8.36,16.35,9.01,0
14.88,1852,8.36,16.4,9,0
14.84,1850,8.36,16.82,8.99,0
14.83,1851,8.36,16.5,8.99,0
14.79,1850,8.36,16.44,8.99,0
14.79,1852,8.36,16.74,8.98,0
14.76,1853,8.36,16.12,8.98,0
14.74,1854,8.36,16.46,8.98,0
14.71,1854,8.36,16.12,8.97,0
14.7,1854,8.36,16.25,8.96,0
14.69,1855,8.36,16.2,8.96,0
14.66,1856,8.35,16.13,8.95,0
14.63,1857,8.35,16.26,8.94,0
14.62,1857,8.35,16.15,8.93,0
14.59,1857,8.35,15.85,8.92,0
14.55,1857,8.35,15.8,8.92,0
14.57,1858,8.35,16.09,8.91,0
14.54,1857,8.35,16.02,8.9,0
14.5,1858,8.35,16.12,8.89,0
14.46,1859,8.35,15.79,8.89,0
14.45,1863,8.35,15.55,8.88,0
14.44,1864,8.35,15.77,8.88,0
14.42,1862,8.35,15.9,8.88,0
14.38,1862,8.35,15.7,8.89,0
14.37,1862,8.35,15.62,8.9,0
14.36,1863,8.36,15.64,8.91,0
14.35,1863,8.36,15.69,8.92,0
14.37,1863,8.36,15.46,8.93,0
14.38,1863,8.36,15.57,8.94,0
14.42,1863,8.36,15.38,8.95,0
14.43,1864,8.36,15.43,8.95,0
14.44,1864,8.36,15.5,8.96,0
14.48,1862,8.36,15.27,8.98,0
14.53,1860,8.36,15.35,8.99,0
14.53,1862,8.36,15.3,9,0
14.61,1862,8.36,15.18,9.02,0
14.66,1864,8.37,15.15,9.04,0
14.73,1866,8.37,14.64,9.06,0
14.8,1867,8.37,14.88,9.08,0
14.83,1868,8.37,14.61,9.09,0
14.93,1867,8.37,14.7,9.1,0
14.95,1868,8.37,14.44,9.09,0
15.05,1865,8.37,14.8,9.13,0
15.11,1865,8.38,14.26,9.15,0
15.07,1863,8.38,14.53,9.18,0
15.03,1864,8.38,14.52,9.19,0
15.21,1864,8.38,14.46,9.19,0
15.35,1860,8.37,14.39,9.15,0
15.07,1858,8.38,14.5,9.25,0
15.32,1858,8.38,14.67,9.25,0
15.17,1857,8.38,14.45,9.28,0
15.3,1857,8.38,14.16,9.3,0
15.39,1858,8.39,14.44,9.27,0
15.42,1859,8.39,13.97,9.3,0
15.36,1858,8.39,14.46,9.35,0
15.37,1861,8.39,14.06,9.36,0
15.22,1858,8.39,14.49,9.4,0
15.39,1857,8.39,14.07,9.4,0
15.33,1856,8.39,14.37,9.42,0
15.33,1855,8.39,14.33,9.45,0
15.4,1858,8.39,14.2,9.44,0
15.6,1859,8.39,14.05,9.46,0
15.51,1853,8.39,14.23,9.48,0
15.58,1857,8.39,14.37,9.45,0
15.5,1854,8.39,15.17,9.46,0
15.67,1856,8.39,15.11,9.48,0
15.63,1856,8.39,14.31,9.55,0
15.62,1854,8.39,13.99,9.58,0
15.44,1853,8.4,14.1,9.63,0
15.38,1853,8.4,14.11,9.64,0
15.75,1856,8.4,13.88,9.63,0
15.72,1863,8.4,13.42,9.65,0
15.68,1859,8.4,13.47,9.66,0
15.97,1863,8.4,13.11,9.63,0
16.03,1863,8.4,12.99,9.6,0
16.02,1866,8.4,12.8,9.62,0
15.97,1862,8.4,12.86,9.62,0
15.72,1860,8.4,13.27,9.67,0
16.01,1862,8.4,12.81,9.59,0
15.84,1863,8.4,13.15,9.63,0
16.5,1867,8.39,12.46,9.54,0
16.95,1876,8.38,12.11,9.26,0
16.3,1869,8.37,12.86,9.23,0
16.24,1866,8.37,13.07,9.23,0
16.23,1864,8.37,13.27,9.22,0
16.34,1869,8.37,12.81,9.2,0
16.38,1873,8.37,12.57,9.19,0
16.55,1879,8.37,11.89,9.19,0
16.57,1882,8.37,12,9.19,0
16.57,1887,8.37,12.14,9.16,0
16.55,1889,8.37,11.76,9.14,0
16.55,1887,8.37,11.73,9.14,0
16.59,1893,8.37,11.4,9.12,0
16.57,1892,8.37,11.4,9.11,0
16.49,1885,8.37,11.6,9.11,0
16.45,1881,8.37,11.74,9.1,0
16.45,1883,8.37,11.53,9.08,0
16.44,1886,8.37,11.33,9.05,0
16.43,1887,8.37,11.68,9.05,0
16.39,1882,8.37,11.66,9.05,0
16.35,1880,8.37,11.6,9.05,0
16.32,1880,8.36,11.61,9.03,0
16.3,1881,8.36,12.07,9.02,0
16.29,1884,8.36,11.85,9,0
16.3,1889,8.37,11.88,8.97,0
16.27,1891,8.36,12.37,8.94,0
16.26,1890,8.36,12.28,8.95,0
16.23,1890,8.36,12.42,8.94,0
16.23,1893,8.36,12.71,8.91,0
16.19,1894,8.36,13.01,8.88,0
16.17,1895,8.36,13.47,8.84,0
16.14,1892,8.36,13.27,8.85,0
16.12,1890,8.36,12.95,8.86,0
16.08,1889,8.36,13.21,8.84,0
16.05,1886,8.36,12.96,8.84,0
16.01,1886,8.36,13.7,8.82,0
16,1886,8.36,13.63,8.8,0
15.98,1883,8.36,13.06,8.83,0
15.93,1884,8.35,13.72,8.8,0
15.89,1884,8.35,14.32,8.75,0
15.88,1887,8.35,14.01,8.73,0
15.84,1884,8.36,14.11,8.73,0
15.83,1883,8.36,14.24,8.73,0
15.84,1880,8.36,14.08,8.77,0
15.86,1878,8.37,13.86,8.8,0
15.87,1878,8.37,13.86,8.81,0
15.92,1878,8.37,13.7,8.83,0
15.97,1875,8.37,13.88,8.84,0
15.95,1874,8.36,14.07,8.83,0
15.95,1875,8.36,13.89,8.83,0
15.97,1874,8.37,14.05,8.84,0
15.96,1870,8.37,14.43,8.86,0
15.96,1866,8.37,14.84,8.88,0
16.02,1864,8.37,14.93,8.9,0
16.2,1862,8.37,14.88,8.9,0
16.23,1862,8.37,14.88,8.9,0
16.39,1861,8.37,14.95,8.9,0
16.29,1865,8.36,14.64,8.94,0
16.31,1868,8.37,14.2,8.94,0
16.39,1869,8.37,13.92,8.94,0
16.39,1876,8.37,13.68,8.95,0
16.49,1873,8.37,13.94,8.94,0
16.5,1874,8.37,14.17,8.9,0
16.42,1876,8.36,17.71,8.79,0
16.48,1873,8.36,18.25,8.81,0
16.46,1869,8.36,23.69,8.79,0
16.47,1866,8.36,27.92,8.79,0
16.47,1864,8.36,30.73,8.78,0
16.48,1862,8.36,32.59,8.77,0
16.46,1857,8.35,37.88,8.71,0
16.45,1851,8.35,74.73,8.63,0
16.46,1848,8.34,101.08,8.56,0
16.46,1848,8.34,102.41,8.55,0
16.45,1849,8.34,90.09,8.58,0
16.43,1857,8.35,88.38,8.66,0
16.51,1872,8.36,87.39,8.71,0
16.57,1890,8.36,79.52,8.69,0
16.54,1888,8.36,95.16,8.67,0
