"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","EVAP","MDPR","MNPN","MXPN","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT03","WT04","WT05","WT11"
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-01",,,,,,"0.00","0.0","0.0",,"65","43","63",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-02",,,,,,"0.00","0.0","0.0",,"65","43","64",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-03",,,,,,"0.00","0.0","0.0",,"68","40","68",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-04",,,,,,"0.00","0.0","0.0",,"76",,"76",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-05",,,,,,"0.00","0.0","0.0",,"85",,"83",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-06",,,,,,"0.00","0.0","0.0",,"87","56","72",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-07",,,,,,"0.00","0.0","0.0",,"78","58","76",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-08",,,,,,"0.00","0.0","0.0",,,"52","70",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-09",,,,,,"0.00","0.0","0.0",,,"49","73",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-10",,,,,,"0.00","0.0","0.0",,"76","49","75",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-11",,,,,,"0.00","0.0","0.0",,"81","48","80",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-12",,,,,,"0.00","0.0","0.0",,"86","48","83",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-13",,,,,,"0.00","0.0","0.0",,"85","44","61",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-14",,,,,,"0.00","0.0","0.0",,"78","38","71",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-15",,,,,,"0.00","0.0","0.0",,"86","38","70",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-16",,,,,,"0.00","0.0","0.0",,"70","42","65",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-17",,,,,,"0.51","0.0","0.0",,,"33","47",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-18",,,,,,"0.03","0.0","0.0",,"50","32","49",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-19",,,,,,"0.00","0.0","0.0",,"58","32","56",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-20",,,,,,"0.00","0.0","0.0",,"69","37","67",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-21",,,,,,"0.09","0.0","0.0",,"69","45","62",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-22",,,,,,"0.00","0.0","0.0",,"73","43","72",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-23",,,,,,"0.00","0.0","0.0",,"80",,"79",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-24",,,,,,"0.00","0.0","0.0",,"84","49","81",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-25",,,,,,"0.03","0.0","0.0",,"85",,"63",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-26",,,,,,"0.00","0.0","0.0",,"69","48","66",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-27",,,,,,"0.00","0.0","0.0",,"69","44","64",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-28",,,,,,"0.00","0.0","0.0",,"78","49","71",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-29",,,,,,"0.00","0.0","0.0",,"79","44","78",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-30",,,,,,"0.00","0.0","0.0",,"87","52","82",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-31",,,,,,"0.00","0.0","0.0",,"87","50","82",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-01",,,,,,"0.04","0.0","0.0",,"87","50","74",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-02",,,,,,"0.00","0.0","0.0",,"84","50","80",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-03",,,,,,"0.00","0.0","0.0",,"89","49","88",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-04",,,,,,"0.00","0.0","0.0",,"93","57","92",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-05",,,,,,"0.00","0.0","0.0",,,,"86",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-06",,,,,,"0.00","0.0","0.0",,"93","55","90",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-07",,,,,,"0.00","0.0","0.0",,"93",,"92",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-08",,,,,,"0.00","0.0","0.0",,"93","54","90",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-09",,,,,,"0.00","0.0","0.0",,,"55","90",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-10",,,,,,"0.00","0.0","0.0",,"90","52","85",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-11",,,,,,"0.00","0.0","0.0",,"88","55","83",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-12",,,,,,"0.00","0.0","0.0",,,"53","66",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-13",,,,,,"0.11","0.0","0.0",,"67","46","65",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-14",,,,,,"0.00","0.0","0.0",,"78","46","78",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-15",,,,,,"0.00","0.0","0.0",,"90","51","87",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-16",,,,,,"0.00","0.0","0.0",,"89","51","88",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-17",,,,,,"0.00","0.0","0.0",,"91","59","80",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-18",,,,,,"0.00","0.0","0.0",,"83","55","83",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-19",,,,,,"0.00","0.0","0.0",,"91",,"89",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-20",,,,,,"0.00","0.0","0.0",,"97","62","94",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-21",,,,,,"0.00","0.0","0.0",,"98","60","98",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-22",,,,,,"0.00","0.0","0.0",,"99","64","86",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-23",,,,,,"0.00","0.0","0.0",,"87","54","87",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-06-24",,,,,,"0.00","0.0","0.0",,"88","51","87",,,,,,,
